Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,60.97,62.65,58.38,58.54,48.11,12150800
2007-08-01,58.45,59.76,57.88,59.63,49.01,10756200
2007-08-02,59.67,61.07,59.61,60.91,50.06,8364600
2007-08-03,60.9,60.91,57.47,57.49,47.25,14938300
2007-08-06,57.88,60.3,55.5,60.23,49.5,17552100
2007-08-07,59.57,60.92,58.95,60.43,49.66,13129900
2007-08-08,60.7,63.88,60.56,62.96,51.74,13356000
2007-08-09,60.67,62.54,59.94,60.65,49.84,17308300
2007-08-10,60.0,61.2,58.44,60.78,49.95,16210100
2007-08-13,61.02,61.45,59.3,59.45,48.86,9661300
2007-08-14,59.5,59.79,57.21,57.3,47.09,11376800
2007-08-15,57.2,58.36,56.72,56.74,46.63,10352300
2007-08-16,56.12,58.81,55.59,58.17,47.81,17405600
2007-08-17,59.68,60.18,57.61,58.89,48.4,13244700
2007-08-20,59.1,59.9,57.99,58.68,48.22,6323700
2007-08-21,59.15,59.56,58.44,59.14,48.6,6913300
2007-08-22,59.73,60.17,58.32,60.13,49.42,8487200
2007-08-23,60.88,60.89,59.62,60.03,49.33,5901300
2007-08-24,59.9,60.98,59.72,60.89,50.04,4785000
2007-08-27,60.88,60.89,59.9,59.96,49.28,4405400
2007-08-28,59.49,59.71,57.35,57.35,47.13,10827000
2007-08-29,57.87,58.19,57.01,58.14,47.78,9128300
2007-08-30,57.79,58.3,57.18,57.72,47.44,7822900
2007-08-31,58.7,59.17,57.73,58.62,48.18,6144700
2007-09-04,58.73,61.43,58.18,60.77,49.94,8269900
2007-09-05,60.0,60.17,59.02,59.32,48.75,6854500
2007-09-06,59.17,59.99,58.61,59.4,48.82,4407300
2007-09-07,58.49,58.9,57.43,57.75,47.46,8603300
2007-09-10,57.78,59.35,57.32,58.71,48.25,6167600
2007-09-11,58.88,59.5,58.43,59.37,48.79,4355900
2007-09-12,58.92,59.75,58.92,59.48,48.88,5698300
2007-09-13,59.98,60.75,59.51,60.6,49.8,8098900
2007-09-14,58.4,59.37,58.0,58.94,48.44,8821100
2007-09-17,58.9,58.92,57.53,58.2,47.83,7563400
2007-09-18,58.6,61.28,58.0,60.8,49.97,10318200
2007-09-19,61.33,62.27,60.39,60.95,50.09,8102800
2007-09-20,61.02,61.25,59.79,60.12,49.41,8866800
2007-09-21,60.36,60.57,58.87,59.28,48.72,11867400
2007-09-24,59.35,59.74,58.25,58.39,47.99,6435000
2007-09-25,58.18,58.96,57.9,58.83,48.35,6697700
2007-09-26,59.22,59.53,58.63,59.01,48.5,6371600
2007-09-27,59.48,59.76,58.9,59.57,48.96,4673900
2007-09-28,59.7,59.99,59.05,59.37,48.79,4368000
2007-10-01,59.15,61.32,58.98,60.63,49.83,6364500
2007-10-02,60.75,61.43,60.31,60.62,49.82,5344900
2007-10-03,60.11,60.4,59.71,59.86,49.32,8577400
2007-10-04,59.92,60.67,59.62,59.76,49.23,4062900
2007-10-05,60.25,61.98,60.2,61.1,50.34,6846600
2007-10-08,61.11,61.41,60.57,60.69,50.0,3527000
2007-10-09,60.95,62.91,60.5,62.52,51.51,8783700
2007-10-10,62.5,62.51,61.36,61.89,50.99,6626400
2007-10-11,62.32,63.63,61.9,62.45,51.45,7308300
2007-10-12,62.65,63.36,61.76,63.23,52.09,5580200
2007-10-15,63.21,63.5,60.92,61.8,50.91,11470400
2007-10-16,61.64,61.94,59.99,60.23,49.62,9366800
2007-10-17,60.84,61.23,59.08,60.08,49.5,8004000
2007-10-18,59.37,59.45,58.38,58.66,48.33,7926100
2007-10-19,58.65,58.65,57.06,57.11,47.05,13624100
2007-10-22,56.0,57.13,55.6,56.87,46.85,17462500
2007-10-23,58.55,58.95,57.35,58.66,48.33,11212800
2007-10-24,58.63,58.95,56.78,58.94,48.56,10623800
2007-10-25,59.03,60.2,57.97,59.76,49.23,11858800
2007-10-26,60.41,61.0,59.45,60.67,49.98,8457700
2007-10-29,60.75,61.15,60.01,60.51,49.85,4744600
2007-10-30,60.35,60.96,60.22,60.3,49.68,4084400
2007-10-31,61.35,61.55,59.39,60.95,50.21,8590000
2007-11-01,60.33,60.49,58.21,58.39,48.11,9596200
2007-11-02,58.62,58.9,56.75,58.42,48.13,9617100
2007-11-05,56.78,58.67,56.78,58.17,47.92,7008500
2007-11-06,58.22,58.8,57.12,58.57,48.25,6741400
2007-11-07,57.31,57.87,55.24,55.37,45.62,13783000
2007-11-08,56.0,56.9,54.07,56.1,46.22,14768500
2007-11-09,55.25,58.28,55.06,56.49,46.54,13740700
2007-11-12,56.28,57.75,56.0,56.09,46.21,10769900
2007-11-13,56.64,59.38,56.35,59.16,48.74,10496500
2007-11-14,59.43,60.0,58.76,59.1,48.69,8476600
2007-11-15,58.98,59.34,57.72,58.24,47.98,8275700
2007-11-16,58.52,59.19,57.92,58.67,48.34,12302900
2007-11-19,58.18,58.35,56.61,57.37,47.26,9430700
2007-11-20,57.35,57.95,54.81,57.0,46.96,15794100
2007-11-21,56.42,56.55,54.22,54.34,44.77,13980800
2007-11-23,54.59,55.74,54.59,55.63,45.83,4450300
2007-11-26,55.74,55.89,53.53,53.54,44.11,9647200
2007-11-27,53.93,55.88,53.36,55.62,45.82,12608800
2007-11-28,56.05,58.04,56.01,57.41,47.3,11814300
2007-11-29,57.3,57.37,55.7,56.89,46.87,7566900
2007-11-30,57.86,59.3,57.86,58.98,48.59,11113100
2007-12-03,58.49,59.23,57.74,58.6,48.28,9788900
2007-12-04,58.37,58.37,56.95,57.11,47.05,8001300
2007-12-05,57.75,58.03,56.6,57.93,47.73,6944400
2007-12-06,57.91,59.79,57.54,59.53,49.04,6897600
2007-12-07,57.9,58.13,56.21,56.96,46.93,13486200
2007-12-10,57.0,57.8,56.78,57.58,47.44,6887600
2007-12-11,57.55,57.55,54.41,54.56,44.95,14312600
2007-12-12,55.67,56.5,52.94,54.08,44.55,13738100
2007-12-13,53.7,54.04,51.62,53.84,44.36,14127900
2007-12-14,52.93,54.2,51.96,52.29,43.08,11098600
2007-12-17,52.17,53.04,51.62,52.18,42.99,10497400
2007-12-18,52.46,52.74,51.57,51.78,42.66,9968500
2007-12-19,51.89,52.49,50.85,51.91,42.77,7926100
2007-12-20,52.19,52.5,50.37,51.03,42.04,11066200
2007-12-21,51.2,52.49,51.2,51.95,42.8,11755900
2007-12-24,51.91,53.3,51.91,53.24,43.86,4108800
2007-12-26,53.45,53.45,52.72,52.9,43.58,5221500
2007-12-27,52.38,52.74,51.02,51.1,42.1,7884600
2007-12-28,51.71,51.85,50.73,50.84,41.88,6565800
2007-12-31,50.85,52.57,50.62,52.02,42.86,8380600
2008-01-02,52.09,52.32,50.79,51.04,42.2,8053700
2008-01-03,51.2,51.5,50.2,50.41,41.67,7753200
2008-01-04,49.99,49.99,48.71,49.14,40.62,8501400
2008-01-07,49.53,50.1,48.59,49.36,40.81,14031100
2008-01-08,49.7,49.7,47.76,47.95,39.64,11721000
2008-01-09,47.94,49.09,47.33,49.08,40.58,10971500
2008-01-10,47.86,49.73,46.57,48.92,40.44,18732300
2008-01-11,44.62,44.87,42.9,44.0,36.38,57219900
2008-01-14,44.1,44.87,43.45,44.5,36.79,18554900
2008-01-15,43.86,44.42,42.52,42.77,35.36,16955000
2008-01-16,42.61,44.82,42.27,44.24,36.57,17365200
2008-01-17,44.3,45.25,42.41,42.67,35.28,16980000
2008-01-18,43.0,44.71,42.51,43.61,36.05,18525300
2008-01-22,41.15,45.2,41.15,43.34,35.83,19895200
2008-01-23,42.33,46.6,41.63,46.21,38.2,19736300
2008-01-24,46.4,48.66,46.4,47.11,38.95,15543400
2008-01-25,47.66,48.23,45.03,45.44,37.57,12691400
2008-01-28,46.1,47.44,45.03,47.4,39.19,9410200
2008-01-29,47.67,48.19,46.37,47.8,39.52,12616600
2008-01-30,47.69,49.1,47.0,47.34,39.14,12645500
2008-01-31,46.69,50.1,46.31,49.13,40.62,16150600
2008-02-01,48.88,50.04,48.75,49.6,41.01,10495100
2008-02-04,48.61,49.0,47.56,47.66,39.4,9420500
2008-02-05,46.82,47.08,45.65,45.7,37.78,11305200
2008-02-06,46.11,47.23,45.67,45.87,37.92,9446800
2008-02-07,45.3,47.16,45.29,46.45,38.4,15578900
2008-02-08,45.9,45.94,43.9,44.98,37.19,16275100
2008-02-11,44.51,44.94,44.07,44.63,36.9,10734000
2008-02-12,45.32,46.2,44.6,45.08,37.27,8275400
2008-02-13,45.5,47.0,45.29,46.85,38.73,10825500
2008-02-14,46.96,47.0,45.66,45.69,37.77,6217700
2008-02-15,45.48,46.12,44.81,45.11,37.29,11125200
2008-02-19,45.54,46.03,44.28,44.55,36.83,8030500
2008-02-20,44.23,45.43,43.93,45.3,37.45,6338700
2008-02-21,45.54,45.77,44.32,44.68,36.94,10630600
2008-02-22,44.32,45.14,43.73,45.06,37.25,7695200
2008-02-25,45.1,45.42,43.9,45.21,37.38,8155900
2008-02-26,45.01,46.27,44.4,45.81,37.87,9715800
2008-02-27,45.31,46.81,45.22,46.07,38.09,6635800
2008-02-28,45.42,45.5,44.36,44.42,36.72,8205600
2008-02-29,44.02,44.09,42.14,42.3,34.97,14317800
2008-03-03,42.2,42.67,41.53,42.08,34.79,10681100
2008-03-04,41.77,42.79,41.0,42.65,35.26,12459100
2008-03-05,43.05,43.37,41.83,42.23,34.91,8615500
2008-03-06,42.11,42.11,41.0,41.29,34.14,11074800
2008-03-07,40.88,42.57,40.55,41.53,34.33,9754900
2008-03-10,41.56,41.56,40.0,40.04,33.1,10031500
2008-03-11,41.61,43.93,41.1,43.83,36.24,14087200
2008-03-12,43.84,44.99,42.6,42.74,35.33,11260700
2008-03-13,42.07,43.31,41.05,42.7,35.3,12272800
2008-03-14,43.13,43.13,40.53,41.01,33.9,10974800
2008-03-17,39.69,42.3,39.5,41.71,34.48,15240300
2008-03-18,42.67,43.71,41.8,43.71,36.14,12815400
