Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,475.7,482.6,465.0,465.7,432.61,4678800
2007-08-01,464.0,471.4,456.3,468.5,435.21,6073700
2007-08-02,467.5,472.8,464.9,472.4,439.34,4127100
2007-08-03,471.6,475.9,456.9,457.2,425.2,4812400
2007-08-06,459.0,485.0,450.2,483.5,449.66,6282300
2007-08-07,479.3,494.0,474.2,485.9,451.9,5700000
2007-08-08,487.6,498.8,481.7,494.9,460.27,5397200
2007-08-09,478.1,487.1,469.0,469.0,436.18,6659700
2007-08-10,457.9,475.0,457.5,470.0,437.11,5158700
2007-08-13,477.4,479.1,464.4,465.4,432.83,3450000
2007-08-14,466.5,468.3,455.2,456.6,424.65,3882600
2007-08-15,455.8,465.0,452.0,456.1,424.18,4611500
2007-08-16,450.7,483.3,446.6,475.5,442.22,10234200
2007-08-17,499.0,499.0,473.9,488.1,453.94,8496900
2007-08-20,490.0,491.8,477.0,483.9,450.04,3861900
2007-08-21,481.5,488.3,478.0,480.6,446.97,3366300
2007-08-22,485.0,487.7,475.0,484.3,450.41,4091000
2007-08-23,488.0,490.0,479.5,483.5,449.66,2579800
2007-08-24,483.6,486.2,478.6,485.0,451.06,2356200
2007-08-27,483.3,483.8,477.0,477.9,444.46,2031500
2007-08-28,472.5,472.6,461.0,461.4,429.11,3899700
2007-08-29,464.0,470.0,458.5,469.5,436.64,2945400
2007-08-30,466.5,467.4,460.0,462.3,429.95,3006800
2007-08-31,470.8,471.7,464.1,468.8,435.99,2721100
2007-09-04,469.6,475.6,465.0,472.1,439.06,2628600
2007-09-05,466.8,466.8,458.7,460.0,427.81,3525000
2007-09-06,461.6,463.9,455.3,456.6,424.65,2703900
2007-09-07,452.2,460.5,450.7,454.8,422.97,4056600
2007-09-10,457.0,458.3,448.3,453.0,421.3,3173600
2007-09-11,455.4,463.4,454.5,460.1,427.9,3169300
2007-09-12,458.9,462.0,455.0,457.6,425.58,2887500
2007-09-13,459.9,465.7,459.1,463.6,431.16,2883400
2007-09-14,459.5,466.9,459.2,466.4,433.76,2864600
2007-09-17,465.0,465.2,456.5,460.3,428.09,2345800
2007-09-18,464.8,485.2,460.5,483.7,449.85,4932500
2007-09-19,486.7,490.0,477.3,482.7,448.92,4179400
2007-09-20,483.6,484.7,470.2,472.0,438.97,3358400
2007-09-21,475.8,477.0,469.3,475.1,441.85,3810900
2007-09-24,475.0,475.5,464.1,465.9,433.3,3798800
2007-09-25,463.3,465.6,459.6,463.1,430.69,3223100
2007-09-26,463.6,470.2,460.1,465.5,432.92,3472100
2007-09-27,468.4,468.9,464.2,468.8,435.99,2713700
2007-09-28,468.6,471.8,465.0,466.7,434.04,2098300
2007-10-01,458.9,482.3,458.6,477.2,443.8,5676400
2007-10-02,478.3,480.0,472.8,478.6,445.11,3301600
2007-10-03,477.5,482.5,476.5,478.9,445.39,3408900
2007-10-04,480.4,484.5,474.0,476.3,442.97,3565800
