Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,13.62,13.74,13.12,13.14,9.12,51628000
2007-08-01,12.99,13.09,12.76,13.05,9.05,80156400
2007-08-02,13.08,13.15,12.73,12.9,8.96,51817000
2007-08-03,12.98,13.02,12.77,12.78,8.87,48703400
2007-08-06,12.9,12.98,12.57,12.96,9.0,46195000
2007-08-07,12.73,13.17,12.68,12.94,8.98,39778600
2007-08-08,13.05,13.1,12.55,12.86,8.93,77802400
2007-08-09,12.66,12.81,12.32,12.52,8.69,61675200
2007-08-10,12.45,12.82,12.1,12.72,8.83,58322400
2007-08-13,12.9,12.94,12.68,12.88,8.94,37963400
2007-08-14,12.94,12.94,12.53,12.75,8.85,45964800
2007-08-15,12.73,12.94,12.53,12.55,8.71,50117800
2007-08-16,12.53,12.74,12.12,12.49,8.67,60556400
2007-08-17,12.89,12.91,12.39,12.62,8.76,72093600
2007-08-20,12.58,12.7,12.27,12.31,8.55,46895200
2007-08-21,12.19,12.49,12.18,12.26,8.51,47364000
2007-08-22,12.44,12.5,12.26,12.5,8.68,62737000
2007-08-23,12.61,12.74,12.55,12.73,8.84,40476000
2007-08-24,12.68,12.82,12.6,12.74,8.84,23670600
2007-08-27,12.98,13.03,12.84,12.92,8.97,28595200
2007-08-28,12.81,12.92,12.45,12.46,8.65,36122400
2007-08-29,12.52,12.91,12.44,12.86,8.93,39138400
2007-08-30,12.7,12.97,12.67,12.77,8.86,29957600
2007-08-31,12.93,13.14,12.87,13.05,9.05,28732800
2007-09-04,13.07,13.14,12.91,12.97,9.0,33843000
2007-09-05,12.88,12.96,12.76,12.89,8.94,26114000
2007-09-06,12.9,12.98,12.77,12.84,8.91,25232000
2007-09-07,12.62,12.69,12.43,12.5,8.68,41766400
2007-09-10,12.52,12.65,12.35,12.56,8.71,27315600
2007-09-11,12.63,12.77,12.55,12.74,8.85,33212200
2007-09-12,12.77,12.81,12.6,12.61,8.75,42144600
2007-09-13,12.73,12.77,12.57,12.62,8.76,32740600
2007-09-14,12.58,12.62,12.45,12.59,8.74,33422400
2007-09-17,12.51,12.53,12.28,12.44,8.64,36648200
2007-09-18,12.53,12.54,12.31,12.5,8.68,63145200
2007-09-19,12.55,12.62,12.03,12.16,8.44,116776600
2007-09-20,12.08,12.1,11.81,11.86,8.23,82993200
2007-09-21,11.97,12.09,11.81,11.94,8.28,84708600
2007-09-24,11.95,12.08,11.8,11.84,8.22,74207000
2007-09-25,11.87,12.06,11.54,12.05,8.36,75537400
2007-09-26,12.13,12.24,12.07,12.16,8.44,51300600
2007-09-27,12.29,12.29,12.1,12.12,8.42,42353600
2007-09-28,12.09,12.18,12.0,12.09,8.39,72282400
2007-10-01,12.1,12.2,12.06,12.18,8.45,33406800
2007-10-02,12.23,12.23,11.98,12.0,8.33,34941400
2007-10-03,11.93,12.05,11.81,11.89,8.25,48805000
2007-10-04,11.95,12.02,11.85,11.97,8.31,34644400
2007-10-05,12.02,12.17,11.88,12.11,8.41,38042400
2007-10-08,12.1,12.1,11.88,11.9,8.26,31622600
2007-10-09,11.92,12.02,11.86,11.95,8.29,37023600
2007-10-10,11.91,11.94,11.74,11.85,8.23,42384400
