Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,161.97,163.29,161.29,162.69,161.03,2129400.0
2017-11-02,163.73,165.55,162.61,164.95,163.27,3255700.0
2017-11-03,164.16,167.07,163.78,166.44,164.74,3112500.0
2017-11-06,165.8,166.59,164.98,165.05,163.37,1910500.0
2017-11-16,,,,,,
2018-02-15,,,,,,
2018-05-10,,,,,,
2018-05-24,198.29,199.09,196.82,198.89,196.86,1176300.0
2018-05-25,198.89,200.22,197.82,198.36,196.34,1331000.0
2018-05-29,198.1,198.84,196.0,196.74,194.73,2298100.0
2018-05-30,198.16,200.53,197.75,199.64,197.6,2390900.0
2018-05-31,200.22,200.7,197.7,198.24,196.22,4822800.0
2018-06-01,195.45,198.99,195.0,197.13,195.12,4056400.0
2018-06-04,197.32,199.04,197.25,198.62,196.59,1870600.0
2018-06-05,199.22,199.35,196.99,197.84,195.82,1868500.0
2018-06-06,198.01,198.4,196.7,197.66,195.64,2066900.0
2018-06-07,200.5,202.88,199.41,202.57,200.5,2735000.0
2018-06-08,201.51,204.01,201.0,203.76,201.68,2052500.0
2018-06-11,203.76,204.89,203.42,204.5,202.42,1684800.0
2018-06-12,204.25,205.08,203.23,204.88,202.79,1384800.0
2018-06-13,204.92,205.83,203.21,204.11,202.03,1665800.0
2018-06-14,204.87,205.73,204.29,205.12,203.03,1685000.0
2018-06-15,205.4,207.67,204.57,207.32,205.21,3879600.0
2018-06-18,206.0,208.11,205.15,206.21,204.11,1975000.0
2018-06-19,204.9,207.81,204.62,207.53,205.41,1940600.0
2018-06-20,207.76,208.59,206.96,207.98,205.86,1527700.0
2018-06-21,208.17,211.11,208.0,209.96,207.82,1825800.0
2018-06-22,210.37,211.77,210.02,211.1,208.95,1738600.0
2018-06-25,210.01,212.08,209.97,211.75,209.59,2398600.0
2018-06-26,212.38,212.46,209.97,210.09,207.95,2276700.0
2018-06-27,210.5,212.42,209.61,210.03,207.89,2211700.0
2018-06-28,210.0,211.19,208.05,208.71,206.58,1826700.0
2018-06-29,209.66,210.53,208.32,208.98,206.85,2164600.0
2018-07-02,208.42,208.82,206.05,207.99,205.87,1876100.0
2018-07-03,208.53,209.91,206.9,207.12,205.01,842100.0
2018-07-05,208.2,209.29,207.55,209.14,207.01,1436700.0
2018-07-06,207.14,210.39,206.66,209.62,207.48,1523200.0
2018-07-09,210.52,211.79,210.0,210.94,208.79,1738300.0
2018-07-10,210.99,212.7,210.83,211.7,209.54,1687800.0
2018-07-11,211.21,211.78,209.97,210.95,208.8,1472800.0
2018-07-12,212.54,214.17,212.22,214.02,211.84,2222000.0
2018-07-13,214.0,216.64,213.71,216.54,214.33,1951200.0
2018-07-16,216.64,217.13,213.9,214.85,212.66,2078200.0
2018-07-17,214.06,216.16,214.0,215.0,212.81,2064800.0
2018-07-18,215.34,215.88,213.6,214.97,212.78,1869500.0
2018-07-19,214.46,218.2,214.03,217.54,215.32,2790800.0
2018-07-20,216.98,218.94,216.24,218.69,216.46,1793900.0
2018-07-23,219.88,220.46,218.2,218.84,216.61,1394300.0
2018-07-24,219.41,220.68,217.59,218.58,216.35,1453900.0
2018-07-25,217.61,220.82,217.37,220.7,218.45,1560200.0
2018-07-26,222.0,224.62,220.82,221.72,219.46,1820000.0
2018-07-27,222.31,222.5,218.76,219.65,217.41,1596800.0
2018-07-30,219.04,220.12,218.61,219.11,216.88,1292700.0
2018-07-31,219.69,220.07,218.33,218.71,216.48,1888500.0
2018-08-01,218.65,219.1,216.25,217.13,214.92,1841300.0
2018-08-02,215.01,221.4,215.01,221.12,218.87,1904800.0
2018-08-03,221.0,222.62,221.0,222.03,219.77,1195700.0
2018-08-06,221.43,223.27,221.01,222.72,220.45,1285500.0
2018-08-07,223.24,225.48,222.98,223.86,221.58,1428100.0
2018-08-08,222.86,224.88,222.24,224.58,222.29,2010700.0
2018-08-09,221.62,222.35,216.91,218.24,216.01,3636600.0
2018-08-10,218.14,221.72,217.75,220.31,218.06,2830800.0
2018-08-13,221.03,221.58,219.06,219.56,217.32,1518900.0
2018-08-14,220.01,222.56,219.86,222.0,219.74,1450600.0
2018-08-15,220.72,222.11,218.77,221.67,219.41,1844100.0
2018-08-16,223.45,224.26,222.14,223.19,220.91,1657700.0
2018-08-17,222.33,225.88,222.15,225.68,223.38,1980900.0
2018-08-20,226.0,228.22,225.97,227.35,225.03,1783700.0
2018-08-21,229.49,230.1,227.7,228.54,226.21,2066700.0
2018-08-22,228.48,230.23,228.38,229.21,226.87,1267900.0
2018-08-23,229.0,230.35,228.57,229.51,227.17,1337900.0
2018-08-24,230.0,232.06,229.6,231.28,228.92,1453200.0
2018-08-27,232.74,232.86,228.1,230.03,227.68,1904100.0
2018-08-28,230.94,231.83,229.84,230.26,227.91,1882100.0
2018-08-29,231.79,232.0,228.73,230.19,227.84,1793600.0
2018-08-30,229.62,231.16,229.44,230.83,229.04,1272000.0
2018-08-31,230.21,233.52,230.21,233.13,231.33,1881300.0
2018-09-04,233.14,234.91,233.14,234.68,232.86,1858400.0
2018-09-05,234.57,236.17,233.2,235.61,233.79,2126000.0
2018-09-06,235.47,236.77,235.06,236.68,234.85,1853200.0
2018-09-07,237.31,242.95,237.2,241.46,239.59,2722400.0
2018-09-10,243.0,243.8,242.12,243.18,241.3,2817300.0
2018-09-11,243.93,245.16,243.17,244.21,242.32,2185700.0
2018-09-12,245.0,245.12,242.23,242.44,240.56,1912000.0
2018-09-13,242.5,243.99,241.05,241.27,239.4,2078200.0
2018-09-14,239.0,239.0,234.47,235.38,233.56,3875300.0
2018-09-17,234.06,234.59,231.51,232.0,230.2,2884600.0
2018-09-18,231.98,235.47,231.7,234.35,232.54,2000200.0
2018-09-19,234.62,234.74,232.42,233.85,232.04,1581400.0
2018-09-20,234.6,235.0,232.32,233.92,232.11,1910100.0
2018-09-21,234.37,235.84,234.01,234.76,232.94,3717800.0
2018-09-24,234.19,234.85,232.9,233.34,231.53,1530400.0
2018-09-25,234.03,234.66,232.73,232.93,231.13,1889700.0
2018-09-26,233.57,235.66,233.45,233.81,232.0,2008500.0
2018-09-27,233.7,235.67,232.34,234.0,232.19,1421400.0
2018-09-28,233.86,235.47,233.79,234.88,233.06,1602800.0
2018-10-01,235.81,236.53,234.43,234.65,232.83,1673100.0
2018-10-02,234.1,237.57,233.87,236.35,234.52,1647600.0
2018-10-03,236.62,237.31,232.73,233.2,231.4,2322300.0
2018-10-04,233.26,234.0,230.66,231.68,229.89,2862800.0
