Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,34.01,34.07,32.99,33.0,28.04,15670600
2007-08-01,32.88,33.94,32.75,33.83,28.74,15048300
2007-08-02,33.98,34.53,33.69,34.36,29.19,11475200
2007-08-03,34.14,34.62,33.84,33.9,28.8,12642500
2007-08-06,34.0,34.39,33.83,34.3,29.14,14263800
2007-08-07,33.95,34.85,33.85,34.55,29.35,14309900
2007-08-08,34.6,34.93,33.85,34.29,29.13,13078200
2007-08-09,33.83,34.2,33.0,33.0,28.04,14932200
2007-08-10,32.57,33.42,32.07,33.16,28.17,15404100
2007-08-13,33.34,33.74,33.13,33.24,28.24,8596100
2007-08-14,33.24,33.5,32.13,32.36,27.49,11502700
2007-08-15,32.3,32.64,31.63,31.71,26.94,12764000
2007-08-16,31.35,32.63,31.25,32.58,27.68,19361900
2007-08-17,33.38,33.55,32.3,32.68,27.76,15964200
2007-08-20,32.78,33.11,32.52,32.91,27.96,10782500
2007-08-21,32.71,33.45,32.64,33.29,28.28,9959400
2007-08-22,33.58,33.68,33.11,33.57,28.52,10689800
2007-08-23,33.75,33.98,32.97,33.16,28.17,10962700
2007-08-24,33.27,33.89,33.12,33.87,28.78,7380600
2007-08-27,33.74,34.08,33.49,33.84,28.75,7100200
2007-08-28,33.75,33.79,33.07,33.2,28.21,9712800
2007-08-29,33.3,33.95,33.07,33.89,28.79,8361500
2007-08-30,33.57,33.74,33.33,33.47,28.44,7330700
2007-08-31,33.74,33.82,33.45,33.6,28.55,7075900
2007-09-04,33.51,34.3,33.5,34.13,29.0,9743200
2007-09-05,33.84,34.1,33.74,34.04,28.92,10641700
2007-09-06,34.22,34.48,33.87,34.41,29.23,8150700
2007-09-07,33.93,34.16,33.47,33.59,28.54,9909900
2007-09-10,33.59,33.87,33.23,33.56,28.51,5500100
2007-09-11,33.63,33.7,33.29,33.49,28.45,7714800
2007-09-12,33.53,33.82,33.41,33.72,28.65,8113000
2007-09-13,33.8,33.9,33.44,33.52,28.48,6968700
2007-09-14,33.32,33.85,33.0,33.56,28.51,8797900
2007-09-17,33.36,33.45,33.06,33.38,28.36,7205200
2007-09-18,33.54,34.7,33.4,34.58,29.38,13653100
2007-09-19,34.81,34.95,34.54,34.56,29.36,10549400
2007-09-20,34.67,34.75,33.8,34.04,28.92,10201900
