Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,258.43,258.54,253.35,253.35,253.35,8596400
2007-08-01,253.6,256.59,252.43,254.81,254.81,8913900
2007-08-02,255.2,255.83,252.86,253.85,253.85,6350800
2007-08-03,253.38,254.94,249.87,249.87,249.87,6393600
2007-08-06,249.87,253.43,249.63,253.35,253.35,7350400
2007-08-07,253.23,258.26,252.88,256.34,256.34,8584000
2007-08-08,257.99,261.19,256.87,261.19,261.19,8190400
2007-08-09,258.72,261.71,255.65,255.7,255.7,9755900
2007-08-10,253.44,257.68,251.18,256.21,256.21,11826700
2007-08-13,258.09,258.2,254.86,256.08,256.08,6399800
2007-08-14,256.19,257.03,252.36,252.66,252.66,7314500
2007-08-15,252.86,254.19,246.75,247.17,247.17,10889300
2007-08-16,244.42,246.61,238.68,244.17,244.17,17403600
2007-08-17,247.11,248.88,244.24,248.4,248.4,11030000
2007-08-20,249.61,249.66,246.4,247.35,247.35,5429600
2007-08-21,247.86,252.44,247.28,251.67,251.67,7268100
2007-08-22,253.33,256.46,252.98,254.72,254.72,6547600
2007-08-23,256.33,256.4,251.86,254.44,254.44,6193400
2007-08-24,254.65,256.11,252.61,255.84,255.84,4977400
2007-08-27,255.55,257.05,254.05,254.97,254.97,4680300
2007-08-28,254.11,255.83,251.26,251.56,251.56,6590200
2007-08-29,252.28,254.99,251.98,254.78,254.78,5131700
2007-08-30,254.52,256.03,253.64,254.05,254.05,5337800
2007-08-31,254.89,256.58,254.08,255.96,255.96,5993800
2007-09-04,255.85,262.29,255.65,260.88,260.88,7435400
2007-09-05,260.01,263.03,259.44,262.19,262.19,6668900
2007-09-06,262.97,263.2,257.45,260.07,260.07,7298900
2007-09-07,257.26,258.94,256.73,258.0,258.0,7374800
2007-09-10,258.96,259.35,253.79,255.58,255.58,6493500
2007-09-11,256.82,259.14,256.2,258.98,258.98,5442300
2007-09-12,258.58,262.28,257.82,259.64,259.64,6010800
2007-09-13,260.34,261.9,259.92,260.69,260.69,3806600
2007-09-14,259.91,263.42,259.42,262.67,262.67,5565600
2007-09-17,261.56,262.93,260.34,260.95,260.95,4423400
2007-09-18,261.56,266.89,260.44,265.91,265.91,8486100
2007-09-19,267.89,272.95,267.69,271.66,271.66,11125600
2007-09-20,271.73,276.6,271.25,274.63,274.63,11121800
2007-09-21,276.37,278.58,274.63,278.24,278.24,16127600
2007-09-24,278.69,283.88,278.19,282.17,282.17,10662800
2007-09-25,280.18,282.94,279.61,282.66,282.66,5496600
2007-09-26,283.36,284.05,280.08,282.24,282.24,6735500
2007-09-27,284.02,284.02,281.06,281.92,281.92,4139300
2007-09-28,281.67,282.93,280.24,281.8,281.8,5313200
2007-10-01,283.14,290.29,282.96,289.39,289.39,9483800
2007-10-02,289.81,296.48,288.13,290.31,290.31,14226900
2007-10-03,291.23,292.59,288.3,290.12,290.12,7809400
2007-10-04,290.65,290.65,286.67,287.64,287.64,6012200
2007-10-05,291.66,296.07,291.61,295.11,295.11,10203200
2007-10-08,295.58,303.16,295.06,302.84,302.84,10121300
2007-10-09,305.57,309.87,302.23,305.6,305.6,17649500
2007-10-10,308.67,310.82,306.41,310.67,310.67,10841200
2007-10-11,314.77,318.63,302.53,308.99,308.99,23751300
2007-10-12,309.97,317.14,307.12,316.64,316.64,13736100
2007-10-15,317.17,317.86,305.79,308.05,308.05,13977800
2007-10-16,307.25,310.94,304.02,306.01,306.01,12128900
2007-10-17,313.19,314.95,308.79,314.69,314.69,12139300
