Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,56.79,56.96,54.76,54.83,40.76,7502800
2007-08-01,54.28,54.98,53.87,54.49,40.51,9570300
2007-08-02,54.72,56.6,54.53,56.3,41.85,6654600
2007-08-03,56.35,56.83,55.36,55.47,41.24,5250900
2007-08-06,56.17,56.22,54.88,56.2,41.78,5705600
2007-08-07,55.82,56.48,54.0,56.12,41.73,5574900
2007-08-08,56.7,56.7,54.11,55.06,40.93,6279400
2007-08-09,54.25,55.08,54.06,54.13,40.24,6147300
2007-08-10,53.68,54.06,51.01,53.4,39.7,9239500
2007-08-13,53.48,54.24,53.39,53.86,40.04,4364800
2007-08-14,53.99,54.9,53.37,53.74,39.95,4659800
2007-08-15,53.95,54.54,52.01,52.17,38.78,7239000
2007-08-16,51.48,52.28,50.41,51.6,38.54,11264600
2007-08-17,52.82,53.14,51.42,51.92,38.79,7656300
2007-08-20,52.45,53.37,52.01,53.22,39.75,4500200
2007-08-21,52.72,53.25,52.37,52.45,39.18,3630700
2007-08-22,52.71,53.33,52.65,53.22,39.75,4188100
2007-08-23,53.58,53.69,53.15,53.26,39.79,3998300
2007-08-24,53.15,53.35,52.91,53.2,39.74,4419800
2007-08-27,53.05,54.79,53.02,54.25,40.52,4303300
2007-08-28,53.96,54.3,52.95,53.0,39.59,4518400
2007-08-29,53.39,54.37,53.11,54.34,40.6,3098400
2007-08-30,53.87,54.88,53.43,53.67,40.09,4009700
2007-08-31,54.12,54.5,53.45,53.53,39.99,5380400
2007-09-04,53.61,53.87,52.84,53.73,40.14,4223900
2007-09-05,53.25,53.73,52.36,52.66,39.34,5647600
2007-09-06,52.44,54.03,52.44,54.02,40.35,4554400
2007-09-07,53.29,53.77,51.99,52.16,38.96,5459400
2007-09-10,52.42,52.81,51.6,52.49,39.21,3392000
2007-09-11,52.48,53.84,52.48,53.6,40.04,3951000
2007-09-12,53.62,53.8,53.19,53.36,39.86,3712000
2007-09-13,53.44,53.95,53.24,53.67,40.1,2984900
2007-09-14,53.46,53.91,53.34,53.81,40.2,2454600
2007-09-17,53.7,53.95,53.15,53.71,40.12,3791100
2007-09-18,53.74,54.72,53.37,54.61,40.79,4583900
2007-09-19,55.53,56.21,55.31,55.54,41.49,5804100
2007-09-20,55.44,55.77,55.1,55.46,41.43,3656200
2007-09-21,55.85,56.33,55.46,55.95,41.8,9221400
2007-09-24,56.03,56.38,55.09,55.3,41.31,4292600
2007-09-25,55.2,56.4,55.05,56.33,42.08,3634500
2007-09-26,56.76,56.89,56.03,56.53,42.23,3430600
2007-09-27,56.72,56.92,56.23,56.44,42.16,3564400
2007-09-28,56.42,56.89,56.32,56.7,42.35,3502800
2007-10-01,56.82,58.11,56.69,57.93,43.27,3751900
2007-10-02,58.05,58.12,56.79,56.96,42.55,3490400
2007-10-03,56.94,57.79,56.75,57.12,42.67,2967200
2007-10-04,57.35,57.68,56.74,56.81,42.44,2866200
2007-10-05,57.12,57.35,56.77,57.03,42.6,2856500
2007-10-08,57.15,58.02,57.0,57.76,43.15,2869900
2007-10-09,57.69,58.38,57.55,58.38,43.61,3689300
2007-10-10,58.39,58.53,56.81,57.88,43.24,5091000
2007-10-11,58.03,58.97,57.65,58.04,43.36,3903800
2007-10-12,58.15,59.39,57.83,58.83,43.95,2521500
2007-10-15,58.85,59.11,57.85,58.51,43.71,3302700
2007-10-16,58.62,58.85,58.12,58.31,43.56,3252100
2007-10-17,58.78,59.09,57.61,57.87,43.23,5292200
2007-10-18,57.87,58.15,57.2,57.86,43.22,3803800
2007-10-19,55.87,57.2,54.57,55.6,41.54,8353400
2007-10-22,54.55,55.7,54.5,55.43,41.41,4744700
2007-10-23,54.95,56.02,54.71,55.96,41.81,3508200
2007-10-24,55.71,56.11,54.9,55.98,41.82,3831900
2007-10-25,56.12,56.61,55.68,56.37,42.11,3473900
2007-10-26,56.73,56.88,56.12,56.67,42.33,3413500
2007-10-29,56.74,57.19,56.72,56.93,42.53,2410800
2007-10-30,56.88,57.72,56.74,57.12,42.67,3239200
2007-10-31,57.51,57.86,56.88,57.59,43.02,3509200
2007-11-01,57.39,57.42,56.22,56.29,42.05,3859000
2007-11-02,56.54,56.83,55.78,56.58,42.27,4427800
2007-11-05,55.29,57.43,55.29,57.12,42.67,3866800
2007-11-06,57.16,58.22,57.14,58.15,43.44,4557700
2007-11-07,58.18,58.18,56.25,56.29,42.05,3837700
2007-11-08,56.33,57.11,55.82,56.53,42.23,4821500
2007-11-09,55.79,56.47,54.89,55.07,41.14,4390000
2007-11-12,54.86,55.39,54.34,54.47,40.69,4063900
2007-11-13,54.63,55.59,54.45,55.43,41.41,5293900
2007-11-14,55.66,56.95,55.45,55.79,41.68,4634700
2007-11-15,55.46,55.81,54.22,54.49,40.71,4356500
2007-11-16,54.75,54.79,52.69,53.27,39.98,7484300
2007-11-19,52.96,53.6,51.97,52.21,39.18,6866100
2007-11-20,52.19,52.96,51.13,51.97,39.0,7726100
2007-11-21,51.43,52.18,51.22,51.4,38.57,7579600
2007-11-23,51.65,52.18,51.49,52.12,39.12,1515900
2007-11-26,52.15,52.28,50.59,50.71,38.06,5472200
2007-11-27,51.03,51.86,50.67,51.53,38.67,5120100
2007-11-28,51.82,53.36,51.73,52.99,39.77,8164000
2007-11-29,52.92,52.98,52.21,52.32,39.27,5423700
2007-11-30,52.85,54.92,52.71,53.98,40.51,10562400
2007-12-03,53.65,55.02,53.65,54.4,40.83,5922000
2007-12-04,54.1,54.28,53.71,54.0,40.52,4037100
2007-12-05,54.25,55.37,54.25,55.04,41.3,4078500
2007-12-06,55.02,55.6,54.9,55.51,41.66,2799900
2007-12-07,55.51,56.08,55.0,55.78,41.86,3197300
