Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,114.72,114.72,110.02,110.65,79.37,17816200
2007-08-01,110.39,112.73,110.06,112.04,80.37,12390300
2007-08-02,112.1,114.05,111.5,113.23,81.22,11318900
2007-08-03,113.24,114.18,111.7,111.89,80.26,9571300
2007-08-06,111.97,113.89,111.7,113.89,81.69,7245500
2007-08-07,113.02,114.17,112.25,113.53,81.44,8021400
2007-08-08,114.3,114.6,112.26,112.98,81.33,7681400
2007-08-09,110.77,114.49,110.73,110.73,79.71,9086000
2007-08-10,109.75,113.5,109.7,112.64,81.08,9592200
2007-08-13,112.99,113.95,112.31,112.71,81.13,6135500
2007-08-14,112.83,113.15,111.74,112.05,80.66,5615600
2007-08-15,111.0,112.85,109.91,111.23,80.07,11640200
2007-08-16,110.98,111.42,103.7,109.69,78.96,16723000
2007-08-17,111.87,112.67,108.66,110.9,79.83,15274600
2007-08-20,110.9,111.1,109.13,109.22,78.62,9839800
2007-08-21,108.9,110.11,108.08,109.04,78.49,8458500
2007-08-22,110.09,110.5,109.15,110.0,79.18,6329700
2007-08-23,110.4,111.68,110.01,111.45,80.23,8271000
2007-08-24,111.45,113.25,110.81,113.24,81.51,7058700
2007-08-27,113.0,113.85,112.8,113.44,81.66,4921800
2007-08-28,112.9,113.59,111.63,112.0,80.62,6006600
2007-08-29,112.88,114.98,112.07,114.57,82.47,7049800
2007-08-30,113.62,116.0,113.62,115.37,83.05,7756100
2007-08-31,115.99,117.35,115.55,116.69,84.0,6883600
2007-09-04,116.34,118.89,116.15,118.19,85.08,8070500
2007-09-05,117.48,118.15,116.55,117.88,84.85,6555500
2007-09-06,117.92,118.75,116.24,117.62,84.67,6778600
2007-09-07,116.2,116.97,115.33,115.55,83.18,7511700
2007-09-10,116.15,117.5,115.32,115.8,83.36,6118300
2007-09-11,116.35,117.78,116.04,117.35,84.47,8098700
2007-09-12,116.95,117.4,115.69,116.0,83.5,6287200
2007-09-13,116.3,117.0,115.74,115.95,83.47,4802700
2007-09-14,115.05,116.0,114.65,115.13,82.87,6904400
2007-09-17,114.7,115.25,114.3,114.52,82.44,5022400
2007-09-18,115.0,116.78,114.83,116.63,83.95,7839500
2007-09-19,116.9,117.19,115.78,116.67,83.98,10311200
2007-09-20,116.27,117.65,116.2,116.86,84.12,5806400
2007-09-21,117.89,118.1,116.35,116.78,84.06,9097300
2007-09-24,116.9,117.43,115.85,116.25,83.68,5734300
2007-09-25,116.02,117.59,115.79,116.51,83.87,7045200
2007-09-26,116.94,118.08,116.75,117.3,84.44,6695200
2007-09-27,117.5,118.21,117.04,117.71,84.73,5834500
2007-09-28,117.14,118.5,117.1,117.8,84.8,7720200
2007-10-01,117.61,119.5,117.5,119.03,85.68,6777300
2007-10-02,119.31,119.6,118.14,118.36,85.2,6911500
2007-10-03,117.65,117.84,116.28,116.4,83.79,7914100
2007-10-04,116.2,116.75,115.0,115.69,83.28,6177500
2007-10-05,116.17,116.71,115.47,116.3,83.72,5749400
2007-10-08,116.1,118.23,115.88,117.77,84.78,4822900
2007-10-09,117.85,118.5,116.42,118.3,85.16,5670600
2007-10-10,118.0,118.8,117.68,118.62,85.39,5913800
2007-10-11,118.99,121.46,117.37,118.05,84.98,13018800
2007-10-12,118.5,118.89,117.28,117.81,84.8,5656200
2007-10-15,117.95,118.37,116.75,118.03,84.96,6267300
2007-10-16,118.02,119.94,117.5,119.6,86.09,11527300
2007-10-17,118.01,118.01,114.15,115.78,83.34,18100500
2007-10-18,114.82,116.41,114.44,114.8,82.64,7736500
2007-10-19,113.98,114.93,111.8,112.28,80.82,10327200
2007-10-22,110.97,113.88,110.96,113.37,81.61,7576900
2007-10-23,113.78,114.8,113.5,114.68,82.55,5562900
2007-10-24,114.2,114.45,111.68,112.95,81.31,8072600
2007-10-25,113.32,114.4,111.69,112.81,81.2,6519900
2007-10-26,113.0,114.0,112.07,113.73,81.87,5030300
2007-10-29,113.9,115.01,113.85,114.8,82.64,5103200
2007-10-30,114.5,114.9,113.75,114.12,82.15,4015500
2007-10-31,114.75,116.25,113.28,116.12,83.59,7216800
2007-11-01,115.5,116.09,113.32,113.65,81.81,7594400
2007-11-02,114.42,115.15,113.57,114.59,82.49,6114800
2007-11-05,115.11,115.11,112.83,113.4,81.63,7155300
2007-11-06,113.49,113.95,111.67,113.17,81.46,7299700
2007-11-07,113.56,113.64,110.9,111.08,80.24,7087000
2007-11-08,105.65,110.32,103.99,106.11,76.65,23092200
2007-11-09,104.92,104.92,99.27,100.25,72.42,18084100
2007-11-12,101.89,104.19,100.7,101.45,73.29,13553600
2007-11-13,102.73,105.74,102.5,105.27,76.05,10777900
2007-11-14,106.12,106.42,102.84,103.44,74.72,8453600
2007-11-15,103.24,105.64,103.05,103.6,74.84,8023600
2007-11-16,104.51,105.0,103.25,104.79,75.7,9294000
2007-11-19,104.34,105.39,101.34,102.22,73.84,9502200
2007-11-20,102.59,104.97,101.38,103.42,74.71,8393400
2007-11-21,101.41,104.09,101.41,102.22,73.84,7097200
2007-11-23,103.1,104.14,102.32,104.05,75.16,2827700
2007-11-26,104.26,105.15,101.72,101.97,73.66,7340700
2007-11-27,102.7,104.58,101.5,103.83,75.01,9117500
2007-11-28,104.82,108.27,104.36,107.37,77.56,9397700
2007-11-29,107.24,107.87,106.25,107.5,77.66,7813800
2007-11-30,108.57,109.19,103.93,105.18,75.98,12900200
2007-12-03,105.55,107.14,104.58,105.83,76.45,7918800
2007-12-04,105.41,107.42,104.72,106.63,77.03,6361800
2007-12-05,107.83,108.52,106.98,108.16,78.13,6090400
2007-12-06,108.0,110.0,107.93,109.7,79.25,5315500
2007-12-07,109.68,110.0,107.95,108.86,78.64,5985500
2007-12-10,109.38,110.26,109.0,109.39,79.02,4442200
2007-12-11,109.34,110.4,106.46,106.99,77.29,8439700
2007-12-12,109.17,110.2,107.38,108.47,78.36,7879800
2007-12-13,108.0,108.64,106.94,108.18,78.15,6252800
2007-12-14,107.31,107.56,104.1,105.77,76.41,9711200
2007-12-17,105.37,105.99,104.0,104.53,75.51,7131100
2007-12-18,105.08,106.97,104.13,106.31,76.8,8042000
2007-12-19,106.54,108.38,105.87,107.14,77.4,7031100
2007-12-20,107.78,109.49,107.61,108.84,78.62,8030900
2007-12-21,109.9,111.16,109.15,111.05,80.22,13246600
2007-12-24,111.2,112.0,110.55,111.65,80.65,2342400
2007-12-26,110.9,112.19,110.9,111.56,80.59,3849400
2007-12-27,110.53,111.3,109.49,109.6,79.17,4513600
2007-12-28,110.76,110.76,109.11,110.09,79.53,5834500
2007-12-31,109.51,110.0,107.26,108.1,78.09,5732300
2008-01-02,108.99,108.99,104.17,104.69,75.63,9503500
2008-01-03,104.83,105.57,103.98,104.9,75.78,7528900
2008-01-04,103.95,103.95,100.48,101.13,73.06,11034600
2008-01-07,100.25,101.0,99.03,100.05,72.28,12650400
2008-01-08,100.05,100.38,97.17,97.59,70.5,9434400
2008-01-09,97.76,99.15,97.16,98.31,71.02,10922100
2008-01-10,97.39,100.86,97.15,99.92,72.18,10634700
2008-01-11,99.2,99.46,97.04,97.67,70.56,8959900
2008-01-14,105.01,105.59,101.33,102.93,74.36,18009400
2008-01-15,102.03,104.64,101.23,101.83,73.56,11629500
2008-01-16,100.14,102.86,100.14,101.63,73.42,12681700
2008-01-17,102.0,103.45,100.05,101.1,73.03,11934000
2008-01-18,106.72,106.72,102.5,103.4,74.7,23871700
2008-01-22,98.55,103.09,98.55,101.22,73.12,15129500
2008-01-23,99.63,106.34,98.5,106.1,76.65,19588100
2008-01-24,106.38,107.51,104.68,106.91,77.23,13025700
2008-01-25,107.79,107.79,104.1,104.52,75.5,10025400
2008-01-28,104.44,105.77,103.83,104.98,75.84,7858500
2008-01-29,105.5,106.8,104.6,106.1,76.65,6616200
2008-01-30,105.85,107.65,104.86,105.65,76.32,7431100
2008-01-31,104.21,107.97,103.7,107.11,77.38,9054600
2008-02-01,107.16,109.4,105.86,109.08,78.8,8047100
2008-02-04,108.67,109.0,107.23,107.93,77.97,5985500
2008-02-05,107.06,108.05,104.68,105.02,75.87,9048900
2008-02-06,105.05,106.49,103.58,103.59,75.12,8265700
2008-02-07,102.89,104.0,100.6,102.34,74.21,11255800
2008-02-08,102.19,103.67,102.07,103.27,74.89,6085600
2008-02-11,103.05,105.55,102.87,105.14,76.24,6098300
2008-02-12,105.16,107.33,104.7,106.53,77.25,7650200
2008-02-13,107.13,108.93,106.8,108.42,78.62,6608200
2008-02-14,107.94,108.5,105.5,106.13,76.96,7340600
2008-02-15,105.27,106.25,105.0,106.16,76.98,6235600
2008-02-19,106.94,107.62,104.64,105.0,76.14,7376400
2008-02-20,105.43,108.21,104.53,107.85,78.21,7671000
2008-02-21,108.1,109.6,106.43,106.93,77.54,8328000
2008-02-22,107.14,108.48,105.71,108.07,78.37,7917200
2008-02-25,107.43,110.32,107.43,110.08,79.82,8158000
2008-02-26,109.52,114.99,109.05,114.38,82.94,18651500
2008-02-27,113.84,116.63,112.91,116.46,84.45,11854900
2008-02-28,115.6,115.9,114.56,115.24,83.57,7227200
2008-02-29,114.04,115.14,113.35,113.86,82.57,8475100
2008-03-03,113.86,114.81,113.48,114.23,82.83,6335700
2008-03-04,113.4,115.72,112.75,115.71,83.91,8593300
2008-03-05,116.41,116.41,114.25,115.39,83.68,8434200
2008-03-06,115.06,115.15,112.25,112.52,81.59,8018400
2008-03-07,111.85,114.75,111.8,113.94,82.62,8124900
2008-03-10,113.12,115.99,113.12,114.01,82.67,9747300
2008-03-11,115.8,116.56,114.04,116.49,84.47,10480600
2008-03-12,116.44,118.0,115.11,117.07,84.89,9083200
2008-03-13,115.69,116.78,113.64,115.91,84.05,9548900
2008-03-14,116.07,116.52,112.69,115.23,83.56,9734600
2008-03-17,113.0,117.04,113.0,115.55,83.79,9280300
2008-03-18,116.6,118.43,113.81,118.41,85.87,9966500
2008-03-19,118.29,118.5,116.65,116.94,84.8,9314400
2008-03-20,117.09,118.48,116.65,118.33,85.81,11417900
2008-03-24,118.57,119.79,118.13,119.06,86.34,8398000
2008-03-25,119.1,119.1,117.15,117.97,85.55,8443600
2008-03-26,117.59,117.97,114.96,116.91,84.78,9617100
2008-03-27,116.02,116.2,114.51,115.52,83.77,8437200
2008-03-28,115.86,116.75,114.21,114.57,83.08,6600900
2008-03-31,114.15,115.87,113.34,115.14,83.49,9707200
2008-04-01,115.2,118.37,114.97,116.49,84.47,11875400
2008-04-02,116.84,116.88,113.98,114.81,83.25,8007600
2008-04-03,114.35,116.82,113.86,116.02,84.13,7052900
2008-04-04,116.05,116.58,114.6,115.76,83.94,5733200
2008-04-07,116.37,117.37,115.82,116.31,84.34,6181200
2008-04-08,115.72,116.88,115.28,116.27,84.31,7283300
2008-04-09,116.5,117.72,115.72,116.77,84.68,6819100
2008-04-10,116.93,119.22,116.88,118.78,86.13,9149300
2008-04-11,117.31,117.8,115.51,116.0,84.12,9556800
2008-04-14,116.2,117.94,115.95,117.28,85.05,7745600
2008-04-15,117.1,117.67,115.54,117.17,84.97,8642000
2008-04-16,118.15,120.47,117.17,120.47,87.36,19317700
2008-04-17,122.39,123.72,120.7,123.08,89.25,18999100
