Date,IGE,EWA,EWC
4/25/2006,28.041323,21.51,24.799999
4/26/2006,27.73171,21.940001,24.870001
4/27/2006,27.37594,21.82,24.700001
4/28/2006,27.775166,21.940001,24.860001
5/1/2006,28.139099,22.15,24.969999
5/2/2006,28.72028,22.129999,25.24
5/3/2006,28.36994,22.16,25.040001
5/4/2006,28.272173,22.110001,24.93
5/5/2006,28.598072,22.4,25.25
5/8/2006,28.489443,22.469999,25.15
5/9/2006,28.872374,22.799999,25.459999
5/10/2006,29.168406,22.709999,25.48
5/11/2006,28.7393,22.700001,25.09
5/12/2006,27.815901,22.139999,24.68
5/15/2006,27.047316,21.629999,24.120001
5/16/2006,27.096205,21.92,24.209999
5/17/2006,26.409084,21.23,23.709999
5/18/2006,25.898497,21.280001,23.389999
5/19/2006,26.03973,21.15,23.469999
5/22/2006,25.773569,20.65,23.27
5/23/2006,25.898497,20.93,23.290001
5/24/2006,25.575315,20.68,23.07
5/25/2006,26.487843,20.950001,23.91
5/26/2006,26.686096,21.09,24.120001
5/30/2006,26.305885,20.99,24.02
5/31/2006,26.887075,20.799999,24.299999
6/1/2006,26.944109,20.709999,24.299999
6/2/2006,27.411234,20.950001,24.52
6/5/2006,26.498709,20.719999,24.01
6/6/2006,26.319456,20.360001,23.780001
6/7/2006,25.450384,20.200001,23.360001
6/8/2006,25.455816,19.92,22.959999
6/9/2006,25.358042,20.17,23.24
6/12/2006,24.624754,20.030001,22.940001
6/13/2006,23.899616,19.18,22.15
6/14/2006,24.442793,19.59,22.33
6/15/2006,25.455816,20.129999,22.92
6/16/2006,25.295586,19.950001,22.700001
6/19/2006,24.469957,19.700001,22.24
6/20/2006,24.388483,19.690001,22.209999
6/21/2006,24.918074,20.07,22.74
6/22/2006,25.040287,20.030001,22.58
6/23/2006,25.514502,20.02,22.700001
6/26/2006,25.814278,20.059999,23.01
6/27/2006,25.806107,19.950001,22.870001
6/28/2006,26.094994,19.889999,22.85
6/29/2006,27.007973,20.700001,23.549999
6/30/2006,27.116995,20.75,23.75
7/3/2006,27.547586,20.889999,23.99
