Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,45.07,45.97,43.94,44.01,32.84,34080900
2007-08-01,43.7,44.44,43.2,44.38,33.12,44504500
2007-08-02,44.41,44.76,44.0,44.59,33.27,28297400
2007-08-03,44.6,44.95,43.39,43.65,32.57,36628500
2007-08-06,43.76,45.11,43.28,45.11,33.66,34200000
2007-08-07,44.99,46.05,44.15,45.34,33.83,30556500
2007-08-08,45.75,47.23,45.27,46.51,34.71,27447200
2007-08-09,45.04,45.94,44.17,44.17,32.96,39278200
2007-08-10,43.36,44.8,42.51,44.25,33.02,32549000
2007-08-13,45.23,45.43,43.68,43.83,32.71,21357600
2007-08-14,43.94,44.02,43.13,43.3,32.31,25217200
2007-08-15,43.13,44.42,42.81,43.0,32.09,27726700
2007-08-16,42.75,45.9,42.16,45.47,33.93,51414800
2007-08-17,48.08,48.29,46.15,47.01,35.08,57869900
2007-08-20,47.17,47.51,45.07,46.49,34.69,32691300
2007-08-21,46.12,47.08,45.75,46.2,34.47,23582300
2007-08-22,46.67,46.83,45.03,46.0,34.32,30844900
2007-08-23,46.45,46.58,45.15,45.67,34.08,21476600
2007-08-24,45.5,46.0,45.03,45.95,34.29,13248000
2007-08-27,45.75,45.9,44.89,44.91,33.51,13527200
2007-08-28,44.48,44.48,43.46,43.6,32.53,23516300
2007-08-29,43.88,44.23,43.15,44.13,32.93,21605200
2007-08-30,43.64,44.36,43.34,43.97,32.81,15581500
2007-08-31,45.0,45.13,44.27,44.52,33.22,16937800
2007-09-04,44.4,45.62,44.26,45.3,33.8,15416800
2007-09-05,44.83,44.97,44.07,44.17,32.96,15556800
2007-09-06,44.24,44.55,43.83,44.21,32.99,18994400
2007-09-07,43.27,43.99,43.2,43.52,32.47,21526200
2007-09-10,43.75,44.45,43.35,43.93,32.78,17181500
2007-09-11,43.96,44.84,43.67,44.54,33.24,15148000
2007-09-12,44.5,44.74,44.15,44.47,33.18,13896800
2007-09-13,44.42,45.78,44.38,45.6,34.03,20262100
2007-09-14,45.23,45.64,45.01,45.54,33.98,12482300
2007-09-17,45.39,45.63,44.89,45.29,33.8,17958300
2007-09-18,45.68,47.86,45.12,47.82,35.68,27267800
2007-09-19,47.97,48.06,47.17,47.57,35.5,31807800
2007-09-20,47.62,47.75,46.73,46.96,35.04,19553500
2007-09-21,47.5,47.54,46.63,47.13,35.17,20535000
2007-09-24,47.2,47.2,46.17,46.34,34.58,17346800
2007-09-25,46.25,46.25,45.65,46.1,34.4,16405200
2007-09-26,46.26,46.69,45.74,46.13,34.42,17485400
2007-09-27,46.2,46.28,45.68,46.21,34.48,12840300
2007-09-28,46.05,46.21,45.58,45.82,34.19,15587900
2007-10-01,45.47,47.04,45.42,46.81,34.93,17276200
