Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,26.37,26.43,26.02,26.06,15.66,19887000
2007-08-01,26.18,26.74,26.09,26.64,16.01,24743400
2007-08-02,26.58,26.9,26.58,26.83,16.13,19595400
2007-08-03,26.91,27.12,26.62,26.64,16.01,22044200
2007-08-06,26.58,27.12,26.58,27.11,16.3,23334800
2007-08-07,26.98,27.4,26.85,27.23,16.37,22657200
2007-08-08,27.19,27.94,27.19,27.93,16.79,25070400
2007-08-09,27.41,28.35,27.41,27.92,16.79,34244000
2007-08-10,27.7,28.07,27.05,27.49,16.53,29816800
2007-08-13,27.5,27.55,27.1,27.26,16.39,19106400
2007-08-14,27.39,27.42,26.9,27.07,16.27,26200600
2007-08-15,27.08,27.33,26.81,26.92,16.18,14280600
2007-08-16,26.75,27.15,26.42,26.79,16.11,29002000
2007-08-17,27.47,28.42,26.58,27.23,16.37,28468600
2007-08-20,27.19,27.44,27.08,27.26,16.39,15993800
2007-08-21,27.2,27.42,26.99,27.01,16.24,16781600
2007-08-22,27.18,27.25,26.89,26.98,16.22,15279400
2007-08-23,26.94,27.08,26.81,26.99,16.23,13930000
2007-08-24,26.83,27.36,26.83,27.0,16.23,13493400
2007-08-27,26.99,27.08,26.85,27.0,16.23,9995800
2007-08-28,27.0,27.0,26.59,26.63,16.01,15706000
2007-08-29,26.74,26.85,26.54,26.75,16.08,15922800
2007-08-30,26.61,26.82,26.57,26.7,16.05,13982600
2007-08-31,26.89,26.99,26.69,26.89,16.17,15035200
2007-09-04,26.83,27.22,26.83,27.18,16.34,12463000
2007-09-05,27.07,27.17,26.68,26.84,16.14,18938600
2007-09-06,26.77,27.52,26.6,27.33,16.43,19000200
2007-09-07,27.3,27.5,27.06,27.3,16.41,23982600
2007-09-10,27.3,27.51,27.15,27.28,16.4,20339400
2007-09-11,27.35,27.97,27.35,27.83,16.73,23866200
2007-09-12,27.8,28.18,27.64,27.92,16.99,18437000
2007-09-13,27.98,28.1,27.81,27.93,17.0,14353000
2007-09-14,27.86,28.28,27.83,28.2,17.16,15459800
2007-09-17,28.0,28.05,27.52,27.64,16.82,21078400
2007-09-18,27.7,28.22,27.7,28.2,17.17,19898800
2007-09-19,28.25,28.38,27.94,28.31,17.23,17220600
2007-09-20,28.28,28.33,28.08,28.16,17.13,12583400
2007-09-21,28.19,28.43,28.16,28.27,17.21,21948800
2007-09-24,28.25,28.69,28.25,28.35,17.25,20872800
2007-09-25,28.34,28.64,28.27,28.51,17.35,15230200
2007-09-26,28.58,28.84,28.45,28.67,17.45,14776200
2007-09-27,28.66,28.8,28.57,28.67,17.45,14274400
2007-09-28,28.65,28.89,28.51,28.74,17.49,13061200
2007-10-01,28.81,29.17,28.78,28.95,17.62,19918600
2007-10-02,29.0,29.08,28.82,28.96,17.62,17565600
2007-10-03,28.88,29.01,28.68,28.78,17.52,12628400
2007-10-04,28.83,29.07,28.78,28.93,17.61,11534600
2007-10-05,28.99,29.14,28.92,29.03,17.67,10896400
2007-10-08,28.98,29.07,28.84,28.9,17.59,6021600
2007-10-09,28.8,28.94,28.65,28.94,17.61,16272000
2007-10-10,29.0,29.1,28.89,28.93,17.61,13236400
2007-10-11,29.0,29.09,28.46,28.59,17.4,12950600
2007-10-12,28.6,28.97,28.58,28.9,17.59,10410200
2007-10-15,29.05,29.11,28.58,28.82,17.54,13801000
2007-10-16,28.83,29.05,28.72,28.88,17.58,14228200
2007-10-17,29.17,29.72,29.03,29.55,17.98,32814800
2007-10-18,29.52,29.83,29.39,29.68,18.06,20771800
2007-10-19,29.76,29.88,29.34,29.38,17.88,24173600
2007-10-22,29.27,29.7,29.19,29.62,18.03,18251800
2007-10-23,29.66,29.89,29.62,29.88,18.18,11663000
2007-10-24,29.75,30.1,29.68,30.09,18.31,18633200
2007-10-25,30.11,30.73,30.05,30.65,18.65,19553800
2007-10-26,30.67,30.8,30.44,30.78,18.74,16187400
2007-10-29,30.75,31.01,30.65,30.92,18.82,16951200
2007-10-30,30.92,31.08,30.67,30.86,18.78,13738200
2007-10-31,31.0,31.03,30.57,30.88,18.79,16640000
2007-11-01,30.82,31.0,30.41,30.45,18.53,20035400
2007-11-02,30.57,30.58,30.0,30.25,18.41,17152600
2007-11-05,30.25,30.36,29.96,30.17,18.36,17845400
2007-11-06,30.19,30.55,30.12,30.5,18.57,15285600
2007-11-07,30.45,30.5,29.97,29.98,18.25,14486800
2007-11-08,30.36,30.82,29.95,30.74,18.71,26091200
2007-11-09,30.75,30.88,30.32,30.42,18.51,18189800
2007-11-12,30.32,30.43,29.9,29.93,18.22,16680200
2007-11-13,30.12,30.6,29.83,30.52,18.57,15326800
2007-11-14,30.65,30.88,30.38,30.68,18.67,16542800
2007-11-15,30.5,31.2,30.5,30.98,18.85,21229800
2007-11-16,31.12,31.36,30.85,31.31,19.06,21454000
2007-11-19,31.25,31.28,31.0,31.15,18.96,16893400
2007-11-20,31.26,31.55,31.05,31.4,19.11,21572400
2007-11-21,31.4,31.73,31.07,31.12,18.94,18067800
2007-11-23,31.27,31.38,30.96,31.15,18.96,9446000
2007-11-26,31.17,31.43,30.8,30.86,18.78,16760800
2007-11-27,30.98,31.66,30.84,31.49,19.16,21048000
2007-11-28,31.61,31.61,31.25,31.5,19.38,25499000
2007-11-29,31.45,31.58,31.31,31.4,19.32,15031600
2007-11-30,31.55,31.55,30.86,31.05,19.1,21684200
2007-12-03,31.05,31.5,30.98,31.1,19.13,17112000
2007-12-04,30.98,31.47,30.75,31.38,19.3,16878600
2007-12-05,31.42,31.52,31.23,31.52,19.4,14622000
2007-12-06,31.45,31.58,31.19,31.53,19.4,15824600
2007-12-07,31.53,31.88,31.53,31.58,19.43,13413800
2007-12-10,31.54,31.75,31.44,31.64,19.46,8487800
2007-12-11,31.62,31.94,31.47,31.49,19.37,17336600
2007-12-12,31.61,32.03,31.48,31.89,19.62,23241400
2007-12-13,31.79,32.07,31.69,32.04,19.72,12418200
2007-12-14,31.88,32.16,31.87,31.91,19.63,19006000
2007-12-17,32.0,32.08,31.14,31.24,19.22,23869200
2007-12-18,31.4,31.41,30.94,31.11,19.14,23756400
2007-12-19,31.1,31.5,31.05,31.42,19.33,14402000
2007-12-20,31.38,31.48,30.95,31.14,19.16,15065400
2007-12-21,31.25,31.74,31.15,31.53,19.4,25318800
2007-12-24,31.52,31.73,31.4,31.6,19.44,4593800
2007-12-26,31.73,31.73,31.38,31.5,19.38,9484400
2007-12-27,31.45,31.6,31.1,31.15,19.16,7729800
2007-12-28,31.16,31.38,31.0,31.14,19.16,8346400
2007-12-31,31.03,31.1,30.61,30.68,18.88,11729200
2008-01-02,30.73,30.79,30.36,30.55,18.79,15453800
2008-01-03,30.58,31.05,30.53,30.86,18.99,13902600
2008-01-04,30.84,31.35,30.83,30.92,19.03,18027400
2008-01-07,31.05,31.72,30.95,31.66,19.48,23782000
2008-01-08,31.8,32.2,31.66,31.78,19.56,20883200
2008-01-09,31.81,32.65,31.8,32.63,20.08,35949600
2008-01-10,32.5,32.79,32.35,32.78,20.17,28944200
2008-01-11,32.69,32.69,31.73,31.89,19.62,32147800
2008-01-14,31.88,32.26,31.88,32.15,19.78,22931400
2008-01-15,31.82,32.1,31.78,31.81,19.57,22999400
2008-01-16,31.64,31.92,31.24,31.33,19.27,25334000
2008-01-17,31.62,31.66,30.95,31.02,19.08,37273000
2008-01-18,31.17,31.23,30.08,30.37,18.68,33758200
2008-01-22,29.36,29.7,28.85,29.4,18.08,37369800
2008-01-23,28.76,29.47,28.25,29.43,18.11,32257400
