Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,101.5,102.16,98.48,98.48,67.32,2841100
2007-08-01,98.87,102.4,98.55,101.7,69.52,2775000
2007-08-02,102.0,102.76,101.18,102.38,69.99,3131500
2007-08-03,101.68,102.61,99.37,99.37,67.93,2296500
2007-08-06,99.91,101.13,99.38,100.85,68.94,1937400
2007-08-07,100.2,100.25,97.65,98.26,67.17,3053000
2007-08-08,98.52,98.69,93.68,94.67,64.72,5364800
2007-08-09,94.5,95.6,91.19,91.36,62.45,7594900
2007-08-10,90.32,95.93,88.86,94.31,64.47,6694000
2007-08-13,95.64,99.45,95.64,98.0,66.99,3994400
2007-08-14,98.08,98.33,95.51,96.06,65.67,2764000
2007-08-15,96.75,97.17,94.65,94.83,64.83,2378100
2007-08-16,93.61,96.15,92.69,95.5,65.28,4047400
2007-08-17,98.48,98.48,95.28,96.22,65.78,2729200
2007-08-20,96.0,96.97,94.84,96.2,65.76,1548300
2007-08-21,95.1,96.61,94.85,95.51,65.29,1493600
2007-08-22,95.31,98.26,95.31,97.79,66.85,2522200
2007-08-23,98.0,98.75,96.28,96.93,66.26,1667100
2007-08-24,97.34,100.02,97.15,100.02,68.37,1834600
2007-08-27,99.5,102.5,99.12,102.41,70.01,2416900
2007-08-28,102.14,102.14,97.74,97.79,66.85,4124500
2007-08-29,98.61,99.78,98.51,99.71,68.16,2146300
2007-08-30,99.71,99.71,98.35,98.65,67.67,1758200
2007-08-31,99.78,100.33,98.98,99.14,68.01,1439100
2007-09-04,99.25,99.25,97.61,98.82,67.79,1787500
2007-09-05,98.56,99.24,97.39,98.87,67.82,2132500
2007-09-06,98.86,99.23,97.81,98.39,67.5,1436300
2007-09-07,97.5,98.25,96.47,96.64,66.3,2133300
2007-09-10,96.9,98.4,96.71,97.51,66.89,1707900
2007-09-11,97.88,98.53,94.97,97.99,67.22,1663200
2007-09-12,97.7,98.87,97.0,97.62,66.97,1628500
2007-09-13,98.65,100.16,98.37,99.64,68.35,2229500
2007-09-14,99.23,101.57,98.73,101.34,69.52,2251300
2007-09-17,100.34,101.23,99.07,99.41,68.2,2619900
2007-09-18,100.95,102.16,100.28,102.1,70.04,2286400
2007-09-19,101.86,103.39,100.83,101.19,69.42,2272100
2007-09-20,100.99,101.89,100.69,101.04,69.31,1660100
2007-09-21,101.99,103.47,101.04,103.2,70.8,2877000
2007-09-24,103.81,104.01,102.09,102.35,70.21,2102300
2007-09-25,102.3,105.12,102.28,104.96,72.0,2604900
2007-09-26,105.11,107.0,104.42,105.72,72.52,3564200
2007-09-27,105.59,106.89,103.81,106.79,73.26,4207100
2007-09-28,106.85,108.75,106.49,108.49,74.42,2847300
2007-10-01,108.15,109.86,108.06,108.74,74.6,3328300
2007-10-02,109.01,110.31,107.33,107.79,73.94,3313400
2007-10-03,107.11,107.48,106.64,106.95,73.37,1833200
2007-10-04,107.55,109.9,107.05,109.0,74.77,2640800
2007-10-05,109.75,109.99,108.3,108.7,74.57,1841000
2007-10-08,108.4,109.57,108.02,109.0,74.77,1342100
2007-10-09,109.17,111.76,109.01,111.4,76.42,2812900
2007-10-10,110.97,112.0,109.85,110.74,75.97,3252300
2007-10-11,111.6,113.74,111.44,111.88,76.75,2600700
2007-10-12,111.87,112.06,110.76,111.67,76.61,1729100
2007-10-15,111.97,112.11,109.57,110.7,75.94,1562700
2007-10-16,110.88,111.0,109.57,110.68,75.93,1689200
2007-10-17,111.68,111.68,108.57,109.93,75.41,2032300
2007-10-18,109.87,111.04,108.21,109.01,74.78,1758900
2007-10-19,108.46,108.99,106.0,106.16,72.83,2921100
2007-10-22,105.4,107.81,103.64,107.24,73.57,2408200
2007-10-23,107.76,108.39,106.18,106.97,73.38,2459500
2007-10-24,106.16,108.9,103.33,108.02,74.1,2437500
2007-10-25,108.4,111.0,107.75,110.15,75.56,2771500
2007-10-26,110.6,111.1,107.5,108.61,74.51,2089000
2007-10-29,108.12,109.74,108.1,109.24,74.94,1367700
2007-10-30,109.01,110.06,107.86,108.24,74.25,1720200
2007-10-31,108.83,110.28,107.75,110.04,75.49,2746700
2007-11-01,109.0,110.51,108.55,108.83,74.66,1893900
2007-11-02,110.06,110.85,108.78,110.12,75.54,1690300
2007-11-05,108.0,110.72,108.0,109.4,75.05,1787400
2007-11-06,109.42,109.99,107.79,109.45,75.08,2176000
2007-11-07,109.64,110.08,107.9,108.08,74.14,1996500
