Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,48.45,48.9,47.86,47.87,32.79,8498400
2007-08-01,47.68,48.37,47.5,48.27,33.07,12486900
2007-08-02,48.08,49.28,48.07,48.99,33.56,12158900
2007-08-03,49.04,49.41,48.46,48.52,33.24,7738200
2007-08-06,48.27,49.53,48.26,49.46,33.88,9994700
2007-08-07,49.0,50.3,49.0,49.73,34.07,7281700
2007-08-08,49.76,51.0,48.32,50.29,34.45,10242300
2007-08-09,49.5,51.88,49.01,49.93,34.21,13259000
2007-08-10,49.65,49.93,48.59,49.41,33.85,8513100
2007-08-13,49.69,49.99,48.6,48.71,33.37,6793800
2007-08-14,48.61,48.71,47.38,48.0,32.88,10058200
2007-08-15,48.2,48.75,47.5,47.56,32.58,8208200
2007-08-16,46.85,48.35,46.64,48.07,32.93,10930100
2007-08-17,49.16,49.2,47.33,47.57,32.59,12152000
2007-08-20,47.73,48.72,47.66,48.29,33.08,5143600
2007-08-21,48.52,48.84,48.06,48.47,33.21,5581100
2007-08-22,48.62,49.45,48.56,49.36,33.82,6384800
2007-08-23,49.67,50.03,49.5,49.85,34.15,6666200
2007-08-24,49.89,50.46,49.63,50.12,34.34,5848300
2007-08-27,50.0,50.56,49.39,49.47,33.89,4535200
2007-08-28,49.59,49.59,48.5,48.64,33.32,5773500
2007-08-29,48.7,49.31,48.17,49.19,33.7,6750400
2007-08-30,48.77,49.21,48.63,48.83,33.45,4129700
2007-08-31,49.28,49.54,49.12,49.25,33.74,4083600
2007-09-04,49.13,49.79,49.07,49.66,34.02,5795100
2007-09-05,49.37,50.0,48.98,49.24,33.73,4145500
2007-09-06,49.2,49.87,48.81,49.76,34.09,5867600
2007-09-07,49.5,49.58,49.0,49.24,33.73,5818900
2007-09-10,49.49,50.62,49.49,50.15,34.36,8932700
2007-09-11,51.01,52.54,50.93,51.76,35.46,17275900
2007-09-12,51.88,51.95,51.16,51.2,35.08,7697100
2007-09-13,52.69,54.68,52.66,54.3,37.2,20106400
2007-09-14,53.9,55.51,53.11,55.45,37.99,15606300
2007-09-17,55.3,55.44,54.14,54.64,37.43,11722300
2007-09-18,54.97,55.19,54.61,55.02,37.69,11114400
2007-09-19,54.85,55.73,54.75,55.41,37.96,11841900
2007-09-20,55.4,55.63,54.79,54.87,37.59,8232600
2007-09-21,55.48,55.48,54.7,54.8,37.54,10275600
2007-09-24,54.88,55.4,54.71,54.96,37.65,4712800
2007-09-25,54.8,54.9,53.89,54.15,37.1,13574500
2007-09-26,54.35,54.92,54.2,54.8,37.54,7709300
2007-09-27,54.83,54.95,54.06,54.56,37.38,6750300
2007-09-28,54.46,54.9,54.11,54.47,37.32,7248000
2007-10-01,54.75,56.22,54.67,56.01,38.37,8244300
2007-10-02,56.36,56.44,55.68,55.95,38.33,7950600
2007-10-03,55.95,56.24,55.54,56.11,38.44,5764200
2007-10-04,56.22,56.39,55.85,56.04,38.39,4871400
2007-10-05,56.07,56.56,55.93,56.37,38.62,6022800
2007-10-08,56.11,56.95,56.02,56.87,38.96,4218900
2007-10-09,57.02,57.46,56.7,57.38,39.31,6463400
2007-10-10,57.17,57.53,56.28,57.03,39.07,6543900
2007-10-11,57.31,57.42,55.95,56.25,38.54,7967400
2007-10-12,56.85,57.36,56.18,57.02,39.06,12560300
2007-10-15,57.29,57.35,55.93,56.19,38.49,9406200
2007-10-16,56.25,57.05,56.04,56.81,38.92,9601700
2007-10-17,57.22,57.29,56.45,56.96,39.02,5481800
2007-10-18,56.89,57.1,56.67,56.79,38.91,3710400
2007-10-19,56.35,57.07,56.32,56.42,38.65,8936500
2007-10-22,56.03,56.26,55.61,56.02,38.38,11976700
2007-10-23,56.2,56.97,55.69,56.97,39.03,8997200
2007-10-24,56.88,57.25,56.23,57.15,39.15,8250200
2007-10-25,57.15,58.28,56.94,58.07,39.78,7870900
2007-10-26,58.13,58.56,57.6,58.47,40.06,5832200
2007-10-29,58.42,59.53,58.42,59.18,40.54,6293800
2007-10-30,58.83,59.51,58.62,59.18,40.54,4553700
2007-10-31,59.23,59.85,58.83,59.75,40.93,7662000
2007-11-01,59.35,59.71,58.84,59.0,40.42,6922800
2007-11-02,59.2,59.45,58.5,59.02,40.43,7664700
2007-11-05,59.0,59.89,58.76,59.67,40.88,7026200
2007-11-06,59.71,59.92,59.39,59.74,40.93,7524500
2007-11-07,59.57,59.86,58.25,58.38,39.99,9703100
2007-11-08,59.21,59.59,58.81,59.37,40.67,17443800
2007-11-09,59.0,59.27,58.1,58.31,39.95,10049800
2007-11-12,59.25,59.25,58.51,58.54,40.1,16654300
2007-11-13,58.5,58.5,56.77,57.1,40.15,16885600
2007-11-14,57.56,57.7,56.58,56.7,39.87,8255100
2007-11-15,56.59,57.3,56.24,57.18,40.2,8701800
2007-11-16,57.49,58.34,57.49,58.13,40.87,12450900
2007-11-19,57.88,58.95,57.88,58.6,41.2,10722600
2007-11-20,58.6,58.81,57.9,58.48,41.12,9414700
2007-11-21,58.11,58.4,57.32,57.33,40.31,9121100
2007-11-23,57.82,58.0,57.3,57.72,40.58,4688500
2007-11-26,57.84,57.84,56.75,56.82,39.95,10468900
2007-11-27,57.0,57.78,56.89,57.46,40.4,7532200
2007-11-28,57.6,58.2,57.42,57.97,40.76,10942200
2007-11-29,57.67,58.4,57.57,58.35,41.03,6500000
2007-11-30,59.0,59.6,58.2,58.47,41.11,11931700
2007-12-03,58.45,60.35,58.1,59.83,42.07,10450500
2007-12-04,59.59,60.47,59.45,60.03,42.21,9330500
2007-12-05,59.44,59.86,59.06,59.51,41.84,9485400
2007-12-06,59.81,60.39,59.08,60.28,42.38,6427700
2007-12-07,60.45,60.77,59.94,60.16,42.3,6121900
2007-12-10,61.0,62.14,60.7,61.9,43.52,8786700
2007-12-11,61.85,63.49,61.75,63.13,44.39,12972200
2007-12-12,63.6,63.69,61.1,61.66,43.35,10201300
2007-12-13,61.48,62.25,61.1,61.51,43.25,7731800
2007-12-14,61.21,62.0,61.11,61.16,43.0,6799200
2007-12-17,61.0,61.0,59.71,59.76,42.02,7289000
2007-12-18,60.3,60.49,59.53,59.83,42.07,7369900
2007-12-19,59.96,60.1,58.75,58.85,41.38,6180600
2007-12-20,59.16,59.16,58.23,58.79,41.34,6540100
2007-12-21,59.2,60.25,59.0,60.03,42.21,9803500
2007-12-24,60.16,60.49,60.0,60.31,42.4,2926200
2007-12-26,60.01,60.5,59.81,59.88,42.1,3314100
2007-12-27,59.64,59.92,59.16,59.19,41.62,4189400
2007-12-28,59.76,59.79,59.17,59.5,41.83,5471700
2007-12-31,59.72,59.94,58.83,58.91,41.42,4346000
2008-01-02,59.48,59.48,57.89,58.1,40.85,7858300
2008-01-03,58.4,58.8,57.74,57.93,40.73,6514700
2008-01-04,57.33,57.47,56.43,57.05,40.11,9687500
2008-01-07,57.36,58.25,56.87,58.03,40.8,10784500
2008-01-08,58.44,58.64,56.96,57.08,40.13,10080800
2008-01-09,57.06,57.53,56.1,57.47,40.41,11600400
2008-01-10,57.69,58.49,56.96,58.17,40.9,10767000
2008-01-11,56.9,56.9,53.32,54.32,38.19,33215200
2008-01-14,54.89,55.31,53.72,54.96,38.64,12932700
2008-01-15,54.39,55.19,53.44,53.76,37.8,10107000
2008-01-16,53.41,53.83,52.22,52.41,36.85,13246000
2008-01-17,52.67,53.04,51.92,51.98,36.55,12878400
2008-01-18,52.45,53.29,52.26,52.4,36.84,11754400
2008-01-22,49.37,52.62,49.37,52.45,36.88,16883500
2008-01-23,51.64,53.05,50.89,53.01,37.27,19158300
2008-01-24,53.8,54.19,52.99,54.0,37.97,10305400
2008-01-25,54.46,54.75,53.99,54.1,38.04,12779800
2008-01-28,51.1,51.43,49.36,51.07,35.91,49724500
2008-01-29,51.43,51.43,50.07,50.75,35.68,20685000
2008-01-30,50.84,51.78,50.8,51.01,35.86,13593900
2008-01-31,50.25,53.58,50.11,53.58,37.67,18338600
2008-02-01,53.67,54.37,52.85,54.22,38.12,11656900
2008-02-04,54.23,54.29,53.3,53.88,37.88,6079100
2008-02-05,53.37,54.5,52.88,53.84,37.85,13425000
2008-02-06,54.19,54.19,53.53,53.73,37.78,11636200
2008-02-07,53.37,54.86,53.3,54.46,38.29,11229000
2008-02-08,54.9,56.41,54.81,55.64,39.12,12940600
2008-02-11,55.73,56.34,55.19,55.98,39.36,5904900
2008-02-12,56.35,56.82,55.92,56.37,39.63,9506600
2008-02-13,57.07,57.07,55.85,56.64,39.82,7739000
2008-02-14,56.77,56.77,55.5,55.58,39.08,5610900
2008-02-15,55.35,55.47,54.84,55.3,38.88,6972300
2008-02-19,55.82,55.99,55.5,55.67,39.14,7853300
2008-02-20,55.27,56.4,55.01,56.2,39.51,8007600
2008-02-21,56.28,56.35,55.12,55.23,38.83,5764400
2008-02-22,55.35,55.69,54.39,55.69,39.16,5963300
2008-02-25,55.61,56.16,55.12,56.05,39.41,5236600
2008-02-26,55.68,56.82,55.68,56.45,39.69,9346700
2008-02-27,56.22,57.0,55.1,55.33,38.9,13814900
2008-02-28,55.0,55.1,54.3,54.62,38.67,6969500
2008-02-29,54.3,54.76,53.94,54.11,38.3,7461200
2008-03-03,53.98,54.74,52.67,53.16,37.63,7495800
2008-03-04,52.9,53.63,52.62,53.63,37.96,7887800
2008-03-05,53.83,54.17,53.27,53.94,38.18,7087700
2008-03-06,53.64,54.2,53.0,53.04,37.55,6526200
2008-03-07,52.55,52.78,52.0,52.27,37.0,8053000
2008-03-10,54.65,54.73,52.93,53.8,38.08,17599500
2008-03-11,54.8,54.8,53.45,54.25,38.4,9330900
2008-03-12,54.47,54.63,53.6,53.7,38.01,7407900
2008-03-13,53.4,55.12,53.4,54.89,38.86,11973500
2008-03-14,55.18,55.18,53.75,54.78,38.78,10275000
2008-03-17,53.37,54.8,53.01,54.28,38.42,10530900
2008-03-18,54.85,55.48,54.01,54.85,38.83,10415700
2008-03-19,55.01,55.49,53.59,53.66,37.99,8740500
2008-03-20,53.95,54.76,53.7,54.42,38.52,13075600
2008-03-24,54.58,56.0,54.4,55.77,39.48,7874100
2008-03-25,55.67,56.51,55.36,56.2,39.78,7557800
2008-03-26,55.83,56.3,55.2,55.6,39.36,5240900
2008-03-27,55.83,56.22,55.42,55.45,39.25,8198700
2008-03-28,55.69,55.94,55.23,55.48,39.27,4778800
2008-03-31,55.56,56.0,55.56,55.77,39.48,6452300
2008-04-01,56.04,57.05,56.0,56.91,40.29,13339900
2008-04-02,57.05,57.24,56.37,56.66,40.11,8375000
2008-04-03,56.44,56.85,55.77,56.24,39.81,6786400
2008-04-04,56.22,56.33,55.4,55.72,39.44,7419700
2008-04-07,56.02,56.24,55.45,55.65,39.39,6744800
2008-04-08,55.42,56.03,55.4,55.87,39.55,4893900
2008-04-09,55.79,56.1,55.39,55.74,39.46,7686800
2008-04-10,55.59,56.21,55.59,55.85,39.54,6762800
2008-04-11,55.41,55.85,55.14,55.4,39.22,5331500
2008-04-14,55.49,55.81,55.23,55.54,39.32,3883200
2008-04-15,55.79,56.14,55.67,55.96,39.61,6655700
2008-04-16,56.31,57.2,55.7,57.18,40.48,7441300
2008-04-17,57.11,57.42,56.86,57.33,40.58,5394100
2008-04-18,57.56,58.47,57.55,58.3,41.27,6762700
2008-04-21,58.59,58.68,58.05,58.67,41.53,6179000
2008-04-22,57.94,58.77,57.42,58.35,41.31,10915900
2008-04-23,58.41,59.44,58.1,58.69,41.55,8813400
2008-04-24,58.65,59.88,58.29,59.58,42.18,7197200
2008-04-25,59.75,59.98,59.26,59.67,42.24,7969600
2008-04-28,59.75,59.99,59.2,59.59,42.18,7705100
2008-04-29,59.15,60.5,59.15,60.2,42.62,7821800
2008-04-30,60.0,60.6,59.54,59.58,42.18,8486600
2008-05-01,59.54,60.93,59.35,60.92,43.12,6954300
2008-05-02,60.9,61.24,60.8,60.95,43.15,7353400
2008-05-05,60.96,60.99,60.3,60.87,43.09,5311900
2008-05-06,60.61,60.7,60.09,60.49,42.82,5146500
2008-05-07,60.4,60.69,59.25,59.38,42.03,6222700
2008-05-08,59.73,59.8,58.79,59.77,42.31,7987700
2008-05-09,59.06,59.58,59.06,59.24,41.94,5219400
2008-05-12,59.3,61.04,59.3,60.87,43.09,6268300
2008-05-13,60.9,61.76,60.76,61.17,43.3,6601200
2008-05-14,61.35,61.5,60.27,60.44,42.79,8562500
2008-05-15,60.4,60.88,59.66,60.86,43.08,6108400
2008-05-16,60.87,60.95,60.27,60.53,42.85,5691000
2008-05-19,60.76,60.87,60.4,60.45,42.79,4924600
2008-05-20,60.28,60.45,59.14,59.68,42.25,8618600
2008-05-21,59.77,59.96,58.41,58.78,41.61,7842600
2008-05-22,58.75,59.26,58.42,58.53,41.43,5111000
2008-05-23,58.37,58.37,57.31,57.73,40.87,5778800
2008-05-27,57.87,58.46,57.55,58.11,41.14,5896100
2008-05-28,58.37,59.05,58.35,58.69,41.55,5481600
2008-05-29,58.7,59.84,58.62,59.48,42.11,4506500
2008-05-30,59.54,59.64,58.8,59.32,41.99,5132200
2008-06-02,59.12,59.19,58.07,58.55,41.45,4930300
2008-06-03,58.7,58.91,57.21,57.56,40.75,9189000
2008-06-04,57.43,58.62,57.43,57.98,41.04,7601500
2008-06-05,57.96,58.5,57.77,58.05,41.36,7715900
2008-06-06,57.7,57.82,56.84,56.95,40.58,7365800
2008-06-09,58.37,59.56,58.0,59.31,42.26,11668400
2008-06-10,59.01,60.41,59.01,59.77,42.59,9083100
2008-06-11,59.77,59.77,58.64,58.75,41.86,6613400
2008-06-12,58.98,59.85,58.92,59.34,42.28,6261300
2008-06-13,59.61,60.33,59.4,59.95,42.71,5033700
2008-06-16,59.44,60.3,59.39,59.94,42.71,4520700
2008-06-17,60.27,60.33,59.07,59.21,42.19,5305400
2008-06-18,58.95,59.4,58.05,58.21,41.47,6248700
2008-06-19,58.07,58.97,57.87,58.59,41.75,6060400
2008-06-20,58.26,58.5,57.35,57.4,40.9,10426900
2008-06-23,57.75,58.05,56.94,57.01,40.62,7033900
2008-06-24,57.55,57.81,56.08,57.02,40.63,9697500
2008-06-25,57.34,58.39,56.78,58.05,41.36,8294300
2008-06-26,57.48,58.1,56.41,56.45,40.22,10465900
2008-06-27,56.63,57.19,55.17,56.5,40.26,14277700
2008-06-30,56.7,57.43,55.52,56.22,40.06,12268500
2008-07-01,55.87,57.35,55.7,57.29,40.82,12089100
2008-07-02,57.4,58.43,57.18,57.43,40.92,9864800
2008-07-03,57.6,57.88,56.26,57.19,40.75,5833800
2008-07-07,57.42,58.01,56.64,57.36,40.87,8011800
2008-07-08,57.7,58.66,57.33,58.52,41.7,9710800
2008-07-09,58.7,59.5,58.28,59.25,42.22,10559700
2008-07-10,59.14,59.3,58.14,58.44,41.64,8735000
2008-07-11,57.88,58.36,57.19,57.32,40.84,9801500
2008-07-14,57.91,58.5,57.51,58.09,41.39,7040200
2008-07-15,57.52,59.46,57.33,58.56,41.72,9576300
2008-07-16,58.52,60.34,58.2,60.16,42.86,10214600
2008-07-17,59.8,60.98,59.01,60.37,43.01,9482400
2008-07-18,60.41,61.0,59.91,60.44,43.06,7258000
2008-07-21,60.36,60.9,59.19,59.75,42.57,8614800
2008-07-22,59.5,60.6,59.5,60.12,42.84,9622000
2008-07-23,61.2,61.21,58.52,59.66,42.51,15047600
2008-07-24,58.7,59.25,58.0,58.37,41.59,8440300
2008-07-25,58.59,59.99,58.35,58.65,41.79,7949000
2008-07-28,58.7,59.08,57.7,57.79,41.18,7273300
2008-07-29,58.3,60.0,57.97,59.7,42.54,10151700
2008-07-30,60.05,60.78,59.9,60.45,43.07,7740100
2008-07-31,60.2,60.98,59.69,59.79,42.6,6960100
2008-08-01,59.83,60.51,59.44,59.77,42.59,7167600
2008-08-04,59.84,60.96,59.77,60.55,43.14,6068600
2008-08-05,60.79,62.41,60.68,62.33,44.41,13334700
2008-08-06,61.9,62.42,61.42,62.14,44.27,9689800
2008-08-07,61.9,63.06,61.31,61.86,44.08,12579200
2008-08-08,62.39,66.24,61.55,65.67,46.79,27536700
2008-08-11,65.04,67.0,64.77,65.95,46.99,14801100
2008-08-12,65.21,65.43,63.62,63.94,45.56,13159200
2008-08-13,64.01,64.09,61.94,62.78,44.73,12390700
2008-08-14,62.65,64.29,62.0,63.6,45.32,9297900
2008-08-15,64.13,64.35,63.23,63.63,45.34,5169800
2008-08-18,63.89,64.23,63.04,63.29,45.09,6953500
2008-08-19,63.0,63.02,62.25,62.46,44.5,5645300
2008-08-20,62.64,62.67,61.96,62.43,44.48,4626500
2008-08-21,61.93,62.85,61.9,62.31,44.4,5135300
2008-08-22,62.69,63.9,62.69,63.42,45.19,5611000
2008-08-25,63.21,63.21,61.9,62.08,44.23,5997600
2008-08-26,62.07,62.27,61.21,62.13,44.27,5547000
2008-08-27,62.59,62.59,61.37,62.08,44.23,4890800
2008-08-28,62.34,62.95,61.71,62.89,45.08,5762500
2008-08-29,62.76,62.94,61.81,62.0,44.44,5955700
2008-09-02,62.39,64.29,62.39,62.91,45.1,9658900
2008-09-03,63.13,63.15,61.2,61.72,44.24,10104800
2008-09-04,61.51,61.54,59.96,60.02,43.02,7760100
2008-09-05,59.79,60.47,59.56,60.3,43.22,8913000
2008-09-08,61.26,62.5,60.93,62.42,44.74,10431000
2008-09-09,63.0,64.65,62.99,63.19,45.3,14469800
2008-09-10,63.38,63.77,62.59,63.2,45.3,8683800
2008-09-11,62.56,64.64,62.26,64.56,46.28,13363300
2008-09-12,64.12,64.87,63.57,64.06,45.92,9374700
2008-09-15,63.73,64.87,63.08,63.72,45.68,11333200
2008-09-16,63.49,65.08,63.11,64.29,46.09,15780900
2008-09-17,63.87,64.82,62.39,62.52,44.82,13401200
2008-09-18,63.38,64.23,62.09,63.96,45.85,13208400
2008-09-19,64.66,65.47,63.6,63.98,45.86,13907400
2008-09-22,63.58,64.76,62.22,62.57,44.85,12146400
2008-09-23,62.63,64.5,61.31,61.78,44.29,11455600
