Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,52.76,52.76,50.66,50.67,39.55,8496200
2007-08-01,50.74,52.64,50.43,52.42,40.92,8779800
2007-08-02,52.1,52.98,50.7,52.92,41.31,7210400
2007-08-03,52.99,53.0,51.55,51.66,40.32,8125400
2007-08-06,51.88,53.34,51.62,53.31,41.61,8006100
2007-08-07,53.46,54.0,52.63,53.72,41.93,7008300
2007-08-08,53.72,54.18,53.29,53.96,42.12,7235100
2007-08-09,53.14,54.05,53.1,53.44,41.71,7397100
2007-08-10,53.65,53.65,52.11,53.06,41.42,6708400
2007-08-13,53.0,53.4,52.43,52.76,41.18,5143500
2007-08-14,52.88,53.4,52.6,52.79,41.21,4357900
2007-08-15,52.66,53.43,52.5,52.65,41.1,6553900
2007-08-16,52.45,53.48,51.83,52.41,40.91,10706300
2007-08-17,52.0,53.22,52.0,53.05,41.41,7693300
2007-08-20,52.45,53.15,52.45,53.02,41.38,6138600
2007-08-21,53.29,53.5,52.8,52.86,41.26,5671200
2007-08-22,52.1,53.23,52.01,52.64,41.09,11097700
2007-08-23,53.24,53.69,52.25,53.56,41.81,7052600
2007-08-24,53.0,54.02,53.0,53.94,42.1,4944400
2007-08-27,53.03,54.7,53.03,53.69,41.91,4566600
2007-08-28,53.57,53.57,52.94,52.97,41.35,4888900
2007-08-29,53.0,53.2,52.35,53.14,41.48,4535200
2007-08-30,52.66,52.97,52.38,52.58,41.04,3634500
2007-08-31,52.72,53.0,52.29,52.84,41.24,4362300
2007-09-04,52.65,53.48,52.5,53.45,41.72,4246200
2007-09-05,53.39,53.85,53.0,53.65,41.88,4614200
2007-09-06,53.02,54.27,53.02,54.06,42.2,5670400
2007-09-07,53.42,54.15,53.42,53.84,42.02,5338100
2007-09-10,53.9,54.16,53.73,53.92,42.09,4107800
2007-09-11,54.08,54.5,53.88,54.49,42.53,4623200
2007-09-12,54.55,54.74,54.14,54.33,42.41,5316700
2007-09-13,54.17,55.12,53.88,54.45,42.5,5663000
2007-09-14,54.45,54.89,53.25,54.49,42.53,3665000
2007-09-17,54.62,54.63,53.43,54.21,42.31,4524500
2007-09-18,54.27,55.76,54.0,55.36,43.21,9709600
2007-09-19,55.55,56.32,55.26,56.22,43.88,9209800
2007-09-20,56.01,57.0,55.99,56.6,44.18,7970800
2007-09-21,57.14,57.17,56.21,56.57,44.16,7858400
2007-09-24,56.44,57.16,56.24,56.94,44.44,6767500
2007-09-25,56.85,56.88,56.13,56.26,43.91,6373600
2007-09-26,56.52,57.1,56.01,56.94,44.44,5928700
2007-09-27,56.51,57.29,56.51,57.04,44.52,5050500
2007-09-28,57.35,57.35,56.15,56.41,44.03,5699100
2007-10-01,56.71,57.98,56.17,57.86,45.16,6704600
2007-10-02,57.64,57.99,57.16,57.34,44.76,3332100
2007-10-03,57.05,57.22,56.37,56.84,44.46,6692600
2007-10-04,56.65,57.26,56.65,57.0,44.59,5365400
2007-10-05,55.5,56.2,54.82,55.9,43.73,15346700
2007-10-08,55.92,56.65,55.91,56.4,44.12,3830200
2007-10-09,56.71,56.87,56.14,56.66,44.32,4163000
2007-10-10,56.6,57.07,56.01,56.85,44.47,5682700
