Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,89.46,90.48,88.78,88.92,64.99,5724600
2007-08-01,88.94,89.47,87.75,89.07,65.1,5677300
2007-08-02,89.06,89.46,88.4,89.12,65.14,3854600
2007-08-03,88.68,89.15,87.51,87.56,64.0,5021400
2007-08-06,87.7,88.37,86.61,87.77,64.15,5717800
2007-08-07,86.96,88.71,86.95,88.03,64.34,4512200
2007-08-08,87.9,88.57,86.99,88.15,64.43,4757100
2007-08-09,87.9,88.13,86.77,86.86,63.49,5069600
2007-08-10,86.36,86.69,84.76,85.97,62.84,5881900
2007-08-13,87.16,87.16,85.75,86.25,63.04,3204900
2007-08-14,86.27,86.76,85.39,85.76,62.68,3468500
2007-08-15,84.94,86.43,84.93,85.06,62.17,3913400
2007-08-16,83.21,86.28,83.21,85.4,62.42,6718500
2007-08-17,87.0,89.11,86.03,87.83,64.2,6135100
2007-08-20,87.55,88.84,87.4,88.27,64.52,3214900
2007-08-21,88.1,88.74,87.65,88.46,64.66,3081600
2007-08-22,88.52,89.58,88.05,89.07,65.46,3059800
2007-08-23,89.34,89.34,88.22,88.75,65.22,2714500
2007-08-24,88.5,89.15,88.0,89.15,65.52,2987400
2007-08-27,88.8,89.27,87.95,88.7,65.19,2182400
2007-08-28,88.59,89.49,87.59,87.62,64.39,3174800
2007-08-29,88.05,88.85,87.51,88.76,65.23,2763300
2007-08-30,88.4,89.99,88.08,89.36,65.67,3543900
2007-08-31,89.81,91.51,89.55,90.99,66.87,4933800
2007-09-04,90.96,91.5,89.9,91.15,66.99,3048300
2007-09-05,90.4,90.75,89.56,89.92,66.08,3231400
2007-09-06,90.26,91.04,90.08,90.63,66.6,2639200
2007-09-07,90.39,90.4,88.67,88.92,65.35,3581200
2007-09-10,89.13,89.87,87.21,87.82,64.54,5234100
2007-09-11,88.01,88.62,87.65,88.24,64.85,3369000
2007-09-12,88.56,89.77,88.31,89.08,65.47,3176200
2007-09-13,89.67,89.69,88.69,89.09,65.47,3090900
2007-09-14,88.66,89.47,88.45,89.02,65.42,2345100
