Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,50.3,50.46,49.5,49.65,32.0,14382200
2007-08-01,49.62,51.27,49.57,51.02,32.89,16472000
2007-08-02,51.43,52.13,50.82,51.64,33.29,12617100
2007-08-03,51.66,51.72,50.24,50.29,32.42,11209100
2007-08-06,51.2,51.58,50.46,51.35,33.1,13097800
2007-08-07,50.88,52.35,50.8,51.63,33.28,13516400
2007-08-08,52.17,52.74,50.92,52.36,33.75,11431800
2007-08-09,51.58,52.5,50.25,51.44,33.16,14787700
2007-08-10,51.44,51.7,50.05,50.88,32.8,15304800
2007-08-13,50.41,51.6,50.41,50.56,32.59,8071100
2007-08-14,50.56,50.74,49.85,49.93,32.18,8473700
2007-08-15,50.05,50.6,49.39,49.78,32.09,10465000
2007-08-16,49.6,49.97,48.11,49.46,31.88,20289500
2007-08-17,50.08,50.26,48.6,49.62,31.98,16421700
2007-08-20,49.62,50.99,49.38,49.98,32.22,8115900
2007-08-21,50.02,50.52,48.74,49.77,32.08,8317300
2007-08-22,50.27,50.76,49.62,50.36,32.46,10726300
2007-08-23,50.71,50.74,49.96,50.5,32.55,9818000
2007-08-24,50.5,50.86,50.09,50.82,32.76,7147400
2007-08-27,50.85,50.94,50.0,50.12,32.31,7643500
2007-08-28,49.83,50.09,49.11,49.21,31.72,7822800
2007-08-29,49.22,50.0,48.73,49.92,32.18,6296800
2007-08-30,49.43,50.09,49.26,49.66,32.01,7346200
2007-08-31,50.04,50.5,49.89,50.17,32.34,7329200
2007-09-04,50.49,50.49,49.63,50.04,32.26,9546200
2007-09-05,49.54,49.7,49.03,49.4,32.09,8117000
2007-09-06,49.4,50.67,49.3,50.47,32.78,12427000
2007-09-07,50.2,50.9,49.45,49.57,32.2,11614400
2007-09-10,49.96,50.0,49.34,49.81,32.35,8892200
2007-09-11,50.1,50.23,49.51,49.95,32.44,7639300
2007-09-12,49.74,50.09,49.18,49.67,32.26,11371600
2007-09-13,50.5,50.88,49.61,49.86,32.39,12273900
2007-09-14,49.74,49.89,49.17,49.54,32.18,7274500
2007-09-17,49.25,49.65,48.97,49.41,32.09,6871800
2007-09-18,48.8,50.8,48.8,50.57,32.85,9733100
2007-09-19,50.83,51.73,50.12,51.56,33.49,12335200
2007-09-20,51.5,52.14,51.21,51.38,33.37,9449900
2007-09-21,51.42,52.08,51.38,51.82,33.66,14235100
2007-09-24,51.87,52.08,51.55,51.68,33.57,8230900
2007-09-25,51.68,52.61,51.53,52.28,33.96,10629200
2007-09-26,52.48,52.83,52.26,52.6,34.16,10573900
2007-09-27,52.52,52.63,51.92,52.3,33.97,6788700
2007-09-28,51.75,52.0,51.25,51.69,33.57,12695200
2007-10-01,52.0,52.69,51.8,52.43,34.05,11103900
2007-10-02,52.58,52.73,51.51,51.62,33.53,10964900
2007-10-03,51.58,52.72,51.44,52.15,33.87,8267900
2007-10-04,51.61,53.11,51.61,52.86,34.33,9652900
2007-10-05,53.2,54.04,53.17,53.51,34.76,8870300
2007-10-08,53.51,53.58,52.8,53.15,34.52,4013900
2007-10-09,53.21,53.96,53.08,53.63,34.83,6354500
2007-10-10,53.63,53.85,53.15,53.23,34.57,5747400
2007-10-11,53.08,53.69,52.78,53.04,34.45,7454800
2007-10-12,53.19,53.68,52.8,53.51,34.76,7811500
2007-10-15,54.0,54.0,53.09,53.29,34.61,7071900
2007-10-16,53.18,53.31,52.68,53.03,34.44,8133700
2007-10-17,53.25,53.5,52.77,53.42,34.7,10805100
2007-10-18,53.0,53.65,52.99,53.39,34.68,6779200
2007-10-19,53.11,54.24,52.95,53.11,34.5,14478600
2007-10-22,53.67,54.95,52.79,54.64,35.49,19389000
2007-10-23,54.85,56.43,54.0,56.36,36.61,18807100
2007-10-24,56.36,56.75,55.74,56.2,36.5,17343600
2007-10-25,56.2,57.25,55.97,57.06,37.06,12703300
2007-10-26,57.07,57.85,57.0,57.58,37.4,11255700
2007-10-29,57.66,58.17,57.31,57.77,37.52,13237100
2007-10-30,57.8,58.15,57.59,57.86,37.58,10171600
2007-10-31,57.71,58.26,57.25,58.26,37.84,11083300
2007-11-01,57.88,58.36,57.19,57.36,37.26,12065600
2007-11-02,58.04,58.04,55.57,56.04,36.4,16838700
2007-11-05,55.0,56.85,55.0,55.93,36.33,11771600
2007-11-06,55.98,56.27,55.68,55.99,36.37,9356700
2007-11-07,55.19,55.93,54.13,54.2,35.2,13441900
2007-11-08,54.46,55.15,54.06,54.77,35.57,17932800
2007-11-09,55.52,57.74,55.52,55.9,36.31,25367000
2007-11-12,55.91,56.67,55.33,55.99,36.37,10802300
2007-11-13,56.42,57.53,55.99,57.49,37.34,15776000
2007-11-14,56.5,57.68,56.5,57.3,37.22,10492100
2007-11-15,56.96,58.89,56.84,57.92,37.62,15786600
2007-11-16,58.43,58.43,57.12,58.38,37.92,13038200
2007-11-19,57.9,58.6,57.79,58.25,37.83,13596000
2007-11-20,58.23,58.4,57.34,57.92,37.62,14291600
2007-11-21,57.33,57.55,55.53,56.52,36.71,13197700
2007-11-23,56.78,57.89,56.78,57.66,37.45,6718100
2007-11-26,57.65,58.42,56.82,57.59,37.41,15229500
2007-11-27,57.37,60.0,57.37,58.94,38.28,18246800
2007-11-28,59.26,60.01,58.83,59.96,38.95,19361500
2007-11-29,59.8,60.29,59.37,59.92,38.92,12181100
2007-11-30,60.2,60.49,58.95,59.36,38.56,18515100
2007-12-03,58.76,59.49,58.63,58.77,38.17,9448500
2007-12-04,57.39,59.12,56.56,58.39,37.93,19201300
2007-12-05,58.45,59.63,57.89,59.4,38.83,10909800
2007-12-06,59.78,59.95,59.01,59.5,38.9,9975600
2007-12-07,59.49,61.09,59.25,60.67,39.66,11924000
2007-12-10,60.67,60.98,59.92,60.77,39.73,11393900
2007-12-11,60.99,61.31,60.13,60.4,39.49,12380900
2007-12-12,61.0,61.62,59.08,59.72,39.04,21493200
2007-12-13,59.31,59.92,58.73,59.79,39.09,8968100
2007-12-14,59.5,60.0,59.13,59.57,38.95,9233700
2007-12-17,59.85,60.59,59.42,59.49,38.89,12580100
2007-12-18,59.8,60.03,59.32,59.74,39.06,9804400
2007-12-19,59.63,60.0,59.03,59.34,38.8,8039900
2007-12-20,59.88,59.96,58.32,58.54,38.27,11679700
