Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,58.99,59.3,57.7,57.73,38.88,4299000
2007-08-01,57.8,59.48,57.38,59.46,40.04,3081800
2007-08-02,59.8,60.26,58.81,59.86,40.31,3707800
2007-08-03,59.86,60.32,56.92,57.11,38.46,3949400
2007-08-06,57.7,60.82,57.36,60.74,40.9,3477500
2007-08-07,60.0,63.65,59.78,62.92,42.37,4794300
2007-08-08,62.92,64.2,61.06,62.6,42.16,4845700
2007-08-09,61.0,62.49,60.63,61.25,41.25,5370200
2007-08-10,60.85,61.98,60.05,60.2,40.54,3647400
2007-08-13,60.46,60.82,59.87,60.27,40.59,2624600
2007-08-14,60.8,61.03,59.25,59.34,39.96,2081200
2007-08-15,59.18,60.85,58.77,58.97,39.71,2713100
2007-08-16,58.51,59.64,56.63,59.29,39.93,3609800
2007-08-17,60.57,60.85,57.95,60.0,40.4,3563800
2007-08-20,59.99,60.27,58.75,59.56,40.11,1720700
2007-08-21,59.1,60.59,59.1,60.13,40.49,1565700
2007-08-22,60.46,61.0,59.85,60.75,40.91,1466900
2007-08-23,60.94,60.96,59.9,60.44,40.7,1164700
2007-08-24,60.39,60.65,59.75,60.0,40.4,1850700
2007-08-27,60.0,60.0,57.82,58.0,39.06,2262200
2007-08-28,57.7,58.27,57.22,57.26,38.56,1416500
2007-08-29,57.38,58.79,57.15,58.69,39.81,1466500
2007-08-30,58.58,59.27,58.01,58.47,39.66,1488900
2007-08-31,59.25,59.35,58.21,58.84,39.91,2227600
2007-09-04,58.94,60.76,58.5,60.38,40.95,2208000
2007-09-05,59.86,60.07,58.77,59.09,40.08,2153100
2007-09-06,59.04,59.74,58.31,59.6,40.42,1990100
2007-09-07,59.6,59.79,58.23,58.59,39.74,1885600
2007-09-10,58.94,59.72,58.52,59.51,40.36,1729200
2007-09-11,59.65,60.41,59.4,60.23,40.85,1365100
2007-09-12,60.25,61.34,60.06,60.78,41.22,1903400
2007-09-13,61.25,61.34,60.73,60.94,41.33,1107800
2007-09-14,60.72,61.7,60.65,61.39,41.64,1332900
2007-09-17,61.2,61.3,60.46,61.26,41.55,1421800
2007-09-18,61.88,63.0,61.44,62.76,42.57,1786900
2007-09-19,62.87,63.44,62.5,63.14,42.83,2010900
2007-09-20,62.97,63.25,62.37,62.63,42.48,1010700
2007-09-21,63.25,63.49,62.63,63.1,42.8,2008300
2007-09-24,62.92,63.15,61.87,62.02,42.07,1743900
2007-09-25,61.7,62.48,61.66,61.91,41.99,1457000
2007-09-26,62.3,63.05,62.2,62.73,42.55,1511400
2007-09-27,62.79,62.81,61.77,61.81,41.92,1563600
2007-09-28,61.86,62.19,60.75,60.88,41.29,1576400
2007-10-01,60.99,62.3,60.99,62.24,42.22,1056600
2007-10-02,62.18,62.34,61.81,62.19,42.18,794200
2007-10-03,62.07,62.41,62.0,62.26,42.23,1065600
2007-10-04,62.39,62.7,62.14,62.49,42.38,956400
2007-10-05,62.88,63.36,62.6,62.83,42.62,1195500
2007-10-08,62.75,63.33,62.25,62.33,42.28,764800
2007-10-09,62.7,63.59,62.58,63.52,43.08,1509800
2007-10-10,63.39,63.64,62.81,63.05,42.76,1546000
2007-10-11,63.5,63.89,62.62,62.96,42.7,2010300
2007-10-12,62.89,63.54,62.86,63.54,43.1,1848600
2007-10-15,63.48,63.55,62.75,63.15,42.83,1727800
2007-10-16,63.08,63.7,63.01,63.24,42.89,2183400
2007-10-17,63.65,63.85,62.82,63.24,42.89,1633000
2007-10-18,63.21,63.5,62.32,62.57,42.44,1740000
2007-10-19,62.67,62.67,60.6,60.69,41.16,2382000
2007-10-22,60.3,61.39,60.26,61.22,41.52,1675400
2007-10-23,61.48,61.8,60.99,61.77,41.9,1412700
