Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,19.79,19.82,19.11,19.12,16.86,35952300
2007-08-01,18.93,19.82,18.83,19.79,17.46,54801800
2007-08-02,19.76,20.21,19.67,20.09,17.72,31437400
2007-08-03,20.09,20.19,19.66,19.66,17.34,35123900
2007-08-06,19.82,20.1,19.73,20.08,17.71,29746300
2007-08-07,19.86,20.08,19.5,19.68,17.36,34504100
2007-08-08,19.96,20.21,19.8,20.2,17.82,26724900
2007-08-09,19.94,20.3,19.87,20.09,17.72,33581200
2007-08-10,19.75,20.25,19.67,19.99,17.63,36769100
2007-08-13,19.93,19.96,19.65,19.72,17.39,22088400
2007-08-14,19.8,19.81,19.32,19.35,17.07,22266300
2007-08-15,19.25,19.71,19.13,19.18,16.92,27172500
2007-08-16,19.11,19.48,18.81,19.14,16.88,42493800
2007-08-17,19.31,19.55,19.01,19.35,17.07,36236800
2007-08-20,19.25,19.41,18.95,19.11,16.86,23960800
2007-08-21,18.96,19.34,18.96,19.27,17.0,23766700
2007-08-22,19.39,19.42,19.07,19.32,17.04,23664200
2007-08-23,19.38,19.69,19.22,19.37,17.08,31203800
2007-08-24,19.3,19.97,19.3,19.94,17.59,26753000
2007-08-27,19.95,20.02,19.75,19.86,17.52,18113200
2007-08-28,19.8,19.86,19.33,19.36,17.08,21875400
2007-08-29,19.41,20.15,19.37,20.13,17.76,30989600
2007-08-30,19.96,20.42,19.81,20.21,17.83,30459800
2007-08-31,20.43,20.48,20.15,20.28,17.89,24050700
2007-09-04,20.24,20.88,20.2,20.72,18.28,36903900
2007-09-05,20.49,20.85,20.46,20.73,18.28,30545000
2007-09-06,20.72,20.74,20.33,20.54,18.12,26360100
2007-09-07,20.22,20.4,19.97,20.16,17.78,29191800
2007-09-10,20.34,20.46,19.98,20.17,17.79,25314200
2007-09-11,20.23,20.52,20.15,20.46,18.05,20869100
2007-09-12,20.35,20.62,20.3,20.54,18.12,30815500
2007-09-13,20.7,20.7,20.34,20.45,18.04,24506800
2007-09-14,20.39,20.42,20.01,20.07,17.7,35461300
2007-09-17,19.96,20.23,19.88,20.02,17.66,23329200
2007-09-18,20.08,20.73,20.05,20.73,18.28,28759700
2007-09-19,20.94,21.13,20.61,20.84,18.38,46209900
2007-09-20,20.82,21.31,20.63,21.04,18.56,56499400
2007-09-21,21.57,22.17,21.04,21.98,19.39,95941900
2007-09-24,22.0,22.12,21.55,21.79,19.22,37448700
2007-09-25,21.62,21.98,21.5,21.94,19.35,30826800
2007-09-26,22.01,22.02,21.5,21.77,19.2,32477400
2007-09-27,21.84,21.88,21.53,21.63,19.08,21078400
2007-09-28,21.66,21.83,21.56,21.65,19.1,20381400
2007-10-01,21.64,21.99,21.61,21.97,19.38,23641200
2007-10-02,21.98,21.98,21.71,21.85,19.27,24202300
2007-10-03,21.79,21.88,21.45,21.57,19.03,25149500
2007-10-04,21.65,21.79,21.51,21.76,19.19,18636800
2007-10-05,21.86,22.32,21.81,22.18,19.56,31341400
2007-10-08,22.05,22.55,22.03,22.51,19.85,23281300
2007-10-09,22.54,22.68,22.36,22.58,19.92,24543300
2007-10-10,22.59,22.95,22.53,22.92,20.22,32204900
2007-10-11,22.95,23.0,22.39,22.46,19.81,35055400
2007-10-12,22.4,22.65,22.11,22.44,19.79,39710600
2007-10-15,22.55,22.58,21.82,22.07,19.47,34244900
2007-10-16,22.0,22.06,21.71,21.75,19.18,31324300
2007-10-17,21.95,21.95,21.14,21.49,18.95,42188200
2007-10-18,21.49,21.58,21.11,21.43,18.9,32349900
2007-10-19,21.43,21.47,20.67,20.75,18.3,40513300
2007-10-22,20.6,21.34,20.51,21.2,18.7,31102900
2007-10-23,21.4,21.49,21.12,21.45,18.92,30083700
2007-10-24,21.26,21.35,20.85,21.18,18.68,31753500
2007-10-25,21.33,21.45,20.78,21.0,18.52,40656800
2007-10-26,21.32,21.35,20.99,21.35,18.83,31368700
2007-10-29,21.49,21.82,21.3,21.77,19.2,29398500
2007-10-30,21.65,21.74,21.48,21.63,19.08,25714700
2007-10-31,21.64,22.24,21.63,22.17,19.55,31540300
2007-11-01,22.0,22.19,21.75,21.76,19.19,34306900
2007-11-02,21.81,22.1,21.68,22.03,19.43,30857000
2007-11-05,21.83,22.21,21.76,22.07,19.47,26496300
2007-11-06,22.53,22.89,22.34,22.83,20.14,34111500
2007-11-07,22.5,22.69,22.07,22.1,19.49,38119400
2007-11-08,21.9,22.05,19.82,20.35,17.95,94813800
2007-11-09,19.93,20.07,19.32,19.36,17.08,77224300
2007-11-12,19.25,19.92,19.06,19.44,17.15,55312900
2007-11-13,19.8,20.53,19.44,20.52,18.1,48238200
2007-11-14,20.83,20.93,19.99,20.18,17.8,47248500
2007-11-15,19.92,20.62,19.72,20.42,18.01,54927000
2007-11-16,20.42,21.06,20.19,20.8,18.35,44728400
2007-11-19,20.65,20.88,20.32,20.53,18.11,29048500
2007-11-20,20.44,20.94,20.23,20.69,18.25,34611400
2007-11-21,20.25,20.63,20.02,20.21,17.83,29401200
2007-11-23,20.24,20.43,20.06,20.31,17.91,11207000
2007-11-26,20.38,20.5,19.69,19.7,17.38,26680800
2007-11-27,19.75,20.18,19.5,19.89,17.54,33108300
2007-11-28,20.08,20.62,20.01,20.51,18.09,28537700
2007-11-29,20.48,20.69,20.31,20.48,18.06,25080700
2007-11-30,20.78,20.78,19.78,20.18,17.8,47957900
2007-12-03,20.23,20.46,20.1,20.24,17.85,36709300
2007-12-04,19.75,20.19,19.68,20.03,17.67,33425000
2007-12-05,20.22,21.46,20.19,21.22,18.72,56410100
2007-12-06,21.1,21.45,20.94,21.42,18.89,29484300
2007-12-07,21.5,21.54,21.06,21.14,18.65,24556300
2007-12-10,21.29,21.69,21.23,21.64,19.09,25332600
2007-12-11,21.7,21.7,21.01,21.07,18.58,30365600
2007-12-12,21.41,21.81,21.06,21.37,18.85,39807900
2007-12-13,21.34,21.77,21.26,21.61,19.06,30334600
2007-12-14,21.36,21.44,21.12,21.2,18.7,26260100
2007-12-17,21.15,21.16,20.82,20.94,18.47,36971900
2007-12-18,21.09,21.26,20.62,21.25,18.74,38884600
2007-12-19,21.33,21.4,20.56,20.76,18.31,68576400
2007-12-20,22.43,22.5,22.04,22.1,19.49,78506700
2007-12-21,22.3,22.76,22.25,22.71,20.03,58166900
2007-12-24,22.64,22.8,22.42,22.76,20.08,15394700
2007-12-26,22.56,23.0,22.55,23.0,20.29,24286900
2007-12-27,23.05,23.31,22.91,23.04,20.32,34093100
2007-12-28,23.11,23.29,22.9,22.97,20.26,21955900
2007-12-31,22.69,22.96,22.5,22.58,19.92,20004400
2008-01-02,22.55,22.82,22.38,22.49,19.84,42775700
2008-01-03,22.43,23.11,22.43,23.11,20.38,42045400
2008-01-04,22.77,22.88,21.79,22.03,19.43,44738600
2008-01-07,21.96,22.48,21.79,22.25,19.63,40045600
2008-01-08,22.24,22.32,21.14,21.15,18.65,43551600
2008-01-09,21.34,21.69,21.15,21.61,19.06,47973000
2008-01-10,21.46,21.8,21.07,21.68,19.12,42107400
2008-01-11,21.53,21.69,21.06,21.1,18.61,46251400
2008-01-14,21.44,22.12,21.1,22.06,19.46,48826100
2008-01-15,21.76,22.05,21.3,21.31,18.8,39579500
2008-01-16,21.03,22.33,20.85,21.92,19.33,76869400
2008-01-17,21.9,21.95,21.3,21.41,18.88,52783800
2008-01-18,21.35,21.83,21.17,21.58,19.03,51486500
2008-01-22,20.28,20.79,19.68,20.22,17.83,66962800
2008-01-23,19.58,20.68,19.52,20.61,18.18,56349500
2008-01-24,20.6,20.97,20.15,20.61,18.18,43764900
2008-01-25,21.0,21.08,20.22,20.28,17.89,42303500
2008-01-28,20.13,20.4,20.01,20.26,17.87,29189600
2008-01-29,20.23,20.28,19.69,20.07,17.7,35571800
2008-01-30,20.02,20.6,19.81,20.27,17.88,42369000
2008-01-31,19.95,20.73,19.88,20.55,18.13,52510400
2008-02-01,20.78,20.78,20.22,20.68,18.24,41937100
2008-02-04,20.68,20.68,20.15,20.2,17.82,26668700
2008-02-05,19.78,19.88,19.21,19.26,16.99,55269500
2008-02-06,19.54,20.09,19.4,19.68,17.36,50356200
2008-02-07,19.26,19.6,19.03,19.2,16.94,59196500
