Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,66.05,66.5,65.56,65.62,46.26,6964200
2007-08-01,65.11,66.74,65.1,66.43,46.83,6558800
2007-08-02,66.99,67.22,66.25,66.81,47.1,5264700
2007-08-03,66.81,67.59,66.43,66.47,46.86,6114100
2007-08-06,67.11,68.55,66.75,68.51,48.3,7561300
2007-08-07,68.19,69.83,67.95,69.16,48.76,9067700
2007-08-08,68.67,70.17,68.51,69.94,49.31,6706800
2007-08-09,69.45,70.25,68.5,68.5,48.29,8567200
2007-08-10,67.68,68.63,67.2,67.95,47.9,7648500
2007-08-13,68.05,68.67,67.2,68.08,48.0,5473000
2007-08-14,68.35,68.55,66.83,67.16,47.35,5052700
2007-08-15,66.91,68.52,66.8,67.34,47.47,6099700
2007-08-16,66.51,68.57,66.5,68.37,48.2,9704700
2007-08-17,69.68,69.82,68.28,69.38,48.91,8667400
2007-08-20,69.19,69.65,68.15,68.61,48.37,4963400
2007-08-21,68.31,68.82,68.1,68.45,48.26,4848700
2007-08-22,68.63,68.9,67.8,68.8,48.5,7342300
2007-08-23,68.88,69.02,67.44,67.91,47.88,6499900
2007-08-24,68.07,68.39,67.83,68.22,48.1,3995100
2007-08-27,67.91,68.39,67.75,68.1,48.01,3175100
2007-08-28,68.0,68.18,67.34,67.51,47.59,4927800
2007-08-29,67.71,68.29,67.34,68.19,48.07,3789000
2007-08-30,67.71,68.26,67.61,67.86,47.84,3953200
2007-08-31,68.23,68.73,67.5,68.03,47.96,6216200
2007-09-04,68.34,68.9,68.17,68.61,48.37,4591600
2007-09-05,67.82,68.22,66.63,67.94,48.16,4537400
2007-09-06,67.64,69.05,67.32,68.56,48.6,4787700
2007-09-07,68.0,68.62,67.68,67.98,48.19,5439500
2007-09-10,68.05,68.84,68.02,68.46,48.53,4644200
2007-09-11,69.34,69.99,69.02,69.87,49.53,6585900
2007-09-12,69.65,69.97,69.37,69.58,49.32,5477900
2007-09-13,69.87,70.48,69.6,69.88,49.54,6851300
2007-09-14,69.47,70.27,69.4,69.56,49.31,4850700
2007-09-17,69.36,70.06,69.12,69.8,49.48,5095900
2007-09-18,70.0,71.1,69.71,70.88,50.25,6007600
2007-09-19,71.0,71.35,70.08,71.11,50.41,6961000
2007-09-20,70.9,71.45,70.83,71.03,50.35,5230100
2007-09-21,71.46,71.99,71.03,71.44,50.64,7783400
2007-09-24,71.46,71.9,70.95,71.25,50.51,8124000
2007-09-25,70.85,71.73,70.75,71.22,50.49,5708000
2007-09-26,71.37,72.54,71.33,72.23,51.2,6429300
2007-09-27,72.3,72.85,72.23,72.62,51.48,5488400
2007-09-28,72.63,73.29,72.5,73.26,51.93,6706500
2007-10-01,73.54,74.24,73.5,74.01,52.46,7216500
2007-10-02,74.12,74.25,73.34,73.76,52.29,6144100
2007-10-03,73.6,73.7,73.2,73.47,52.08,5139100
2007-10-04,73.01,73.88,73.01,73.87,52.36,4463700
2007-10-05,74.14,74.19,73.24,73.74,52.27,5698200
2007-10-08,73.5,73.95,73.4,73.91,52.39,2371900
2007-10-09,73.4,73.69,72.93,73.21,51.9,7024100
2007-10-10,73.46,74.19,73.1,73.6,52.17,5326500
2007-10-11,73.8,74.1,70.82,71.77,50.88,12367700
2007-10-12,71.74,72.47,71.4,71.78,50.88,5750600
2007-10-15,71.65,71.97,70.79,71.35,50.58,7043100
2007-10-16,71.06,72.05,71.05,71.87,50.95,5704300
2007-10-17,72.02,72.79,71.61,72.11,51.12,4837700
2007-10-18,72.07,72.44,71.71,71.88,50.95,3426100
2007-10-19,71.6,71.85,70.35,70.4,49.9,7392900
2007-10-22,70.03,71.22,69.98,71.17,50.45,5464300
2007-10-23,71.27,71.58,70.71,71.53,50.71,4878200
2007-10-24,71.18,71.9,70.94,71.8,50.9,5084400
2007-10-25,72.0,72.37,71.62,71.98,51.02,4707800
2007-10-26,72.46,72.46,71.5,72.34,51.28,4133300
2007-10-29,72.49,73.87,72.17,73.7,52.24,5955000
2007-10-30,73.3,74.32,73.1,73.84,52.34,4961900
2007-10-31,74.04,74.3,72.85,73.72,52.26,4810900
2007-11-01,73.49,73.9,72.39,72.39,51.32,4960600
2007-11-02,73.63,73.63,72.37,72.98,51.73,5073000
2007-11-05,73.56,73.56,72.62,72.76,51.58,6661600
2007-11-06,72.82,73.89,72.76,73.49,52.1,4810600
2007-11-07,73.32,73.32,72.19,72.34,51.28,4909100
2007-11-08,72.4,73.75,72.0,73.5,52.1,6819000
2007-11-09,73.6,74.23,72.81,73.48,52.09,6694900
2007-11-12,73.2,73.69,72.5,72.57,51.44,4951000
2007-11-13,73.19,73.42,72.1,73.34,51.99,5741400
2007-11-14,73.9,74.96,72.86,74.06,52.5,6225000
2007-11-15,73.91,74.86,73.38,73.58,52.16,5205200
2007-11-16,74.21,74.39,73.16,74.15,52.56,6092900
2007-11-19,73.83,75.4,73.55,75.08,53.22,7842900
2007-11-20,75.0,75.58,73.97,74.84,53.05,8165000
2007-11-21,74.42,76.29,74.42,75.04,53.19,7706300
2007-11-23,75.69,75.69,74.76,75.51,53.53,2283400
2007-11-26,75.66,76.41,74.51,74.69,52.95,6032900
2007-11-27,75.16,76.13,74.44,75.92,53.82,6342300
2007-11-28,76.09,77.41,75.47,77.16,54.7,6729800
2007-11-29,77.07,77.07,76.09,76.54,54.26,4523000
2007-11-30,76.72,77.18,76.04,77.18,54.71,7287700
2007-12-03,77.51,77.51,76.37,76.58,54.29,4424500
2007-12-04,76.28,77.0,76.24,76.65,54.34,4260500
2007-12-05,75.81,76.79,75.62,76.27,54.33,6580300
2007-12-06,76.24,77.17,76.04,77.03,54.87,3788500
2007-12-07,77.17,77.75,76.91,77.0,54.85,3359900
2007-12-10,77.37,77.57,76.91,77.28,55.05,3942100
2007-12-11,77.5,78.09,76.34,76.48,54.48,5377900
2007-12-12,77.76,78.57,77.2,78.09,55.63,7472100
2007-12-13,78.3,78.78,77.53,78.69,56.06,4995600
2007-12-14,78.59,79.0,78.37,78.46,55.89,6740700
2007-12-17,78.89,78.89,77.2,77.37,55.12,5968700
2007-12-18,78.08,78.08,76.52,77.02,54.87,7384200
2007-12-19,77.19,77.39,76.32,76.79,54.7,5039400
2007-12-20,77.2,77.22,76.11,76.49,54.49,4365200
2007-12-21,77.82,77.88,76.77,77.35,55.1,7732500
2007-12-24,77.35,78.0,77.01,77.71,55.36,1444900
2007-12-26,77.98,77.98,76.92,77.28,55.05,3244500
2007-12-27,77.0,77.86,76.59,76.7,54.64,3429200
2007-12-28,77.0,77.32,76.57,77.03,54.87,2418600
2007-12-31,76.93,76.93,75.75,75.9,54.07,3707600
2008-01-02,76.41,76.41,74.71,75.29,53.63,4899100
