Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,49.16,49.23,48.13,48.43,41.93,10434800
2007-08-01,48.24,48.87,47.36,47.99,41.55,11590900
2007-08-02,47.5,48.8,47.5,48.36,41.87,10394800
2007-08-03,49.25,49.25,47.4,47.5,41.12,10970100
2007-08-06,47.75,48.55,47.51,48.5,41.99,9647900
2007-08-07,48.36,49.07,45.82,47.99,41.55,9495000
2007-08-08,48.3,48.3,46.95,47.57,41.18,10244600
2007-08-09,47.79,47.96,46.03,46.33,40.11,14537200
2007-08-10,46.4,48.07,46.05,47.48,41.1,11879500
2007-08-13,47.85,49.99,47.8,49.04,42.46,12146600
2007-08-14,49.29,49.38,48.17,48.48,41.97,6202000
2007-08-15,48.85,50.1,48.75,49.12,42.52,10229600
2007-08-16,48.6,49.13,47.97,48.86,42.3,9655400
2007-08-17,49.44,49.87,48.9,49.8,43.11,9515400
2007-08-20,50.12,50.47,49.22,49.55,42.9,7082900
2007-08-21,49.55,49.92,49.27,49.56,42.91,5805300
2007-08-22,49.0,49.22,48.1,48.65,42.12,10318200
2007-08-23,48.9,49.0,48.34,48.62,42.09,5916500
2007-08-24,48.4,49.79,48.17,49.61,42.95,6220000
2007-08-27,49.42,49.94,49.19,49.19,42.59,4221300
2007-08-28,49.36,49.64,48.61,48.63,42.1,5267400
2007-08-29,48.81,49.0,48.27,48.69,42.15,6245200
2007-08-30,48.69,49.49,48.33,49.05,42.46,6553300
2007-08-31,49.3,50.3,49.01,50.01,43.3,9211400
2007-09-04,50.11,50.75,49.99,50.19,43.45,7922300
2007-09-05,49.86,50.0,49.14,49.29,42.67,6183800
2007-09-06,49.03,49.72,49.03,49.6,42.94,4168900
2007-09-07,49.15,49.5,48.98,49.19,42.59,4200100
2007-09-10,49.34,49.48,48.97,49.12,42.52,6124300
2007-09-11,49.42,49.73,48.78,49.57,42.91,5778100
2007-09-12,49.53,49.74,49.35,49.47,42.83,6619700
2007-09-13,49.65,49.86,49.39,49.55,42.9,5046800
