Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,30.42,30.53,29.78,29.78,20.24,9767200
2007-08-01,29.5,30.0,29.37,29.83,20.27,11888400
2007-08-02,29.88,30.17,29.59,30.0,20.38,11544800
2007-08-03,29.99,30.05,28.56,28.56,19.41,14041200
2007-08-06,28.83,28.98,28.38,28.67,19.48,17455200
2007-08-07,28.58,29.53,28.25,29.22,19.85,13282000
2007-08-08,29.5,30.06,29.45,29.76,20.22,15875200
2007-08-09,29.52,29.92,28.92,28.92,19.65,12474000
2007-08-10,28.88,29.34,28.25,29.16,19.81,16453200
2007-08-13,29.33,29.94,29.32,29.49,20.04,8291200
2007-08-14,29.45,29.59,28.25,28.28,19.22,13719200
2007-08-15,27.85,28.22,26.62,26.91,18.29,17903600
2007-08-16,26.63,26.82,24.84,26.25,17.84,32643200
2007-08-17,27.13,27.28,25.75,26.48,17.99,15945200
2007-08-20,26.44,28.11,26.44,27.93,18.98,17457200
2007-08-21,28.0,28.06,27.33,27.41,18.62,8388800
2007-08-22,27.86,28.29,27.76,28.22,19.17,10981600
2007-08-23,28.32,28.5,27.32,27.42,18.63,9952000
2007-08-24,27.42,27.86,27.26,27.77,18.87,6959200
2007-08-27,27.73,27.85,27.34,27.38,18.6,5464400
2007-08-28,27.34,27.38,26.67,26.7,18.38,7524000
2007-08-29,26.88,27.53,26.88,27.48,18.91,7499600
2007-08-30,27.08,27.57,26.75,26.97,18.56,10230400
2007-08-31,27.32,28.04,27.16,27.89,19.2,12036800
2007-09-04,27.73,28.35,27.66,28.14,19.37,5341200
2007-09-05,27.88,27.94,27.1,27.28,18.78,11641200
2007-09-06,27.33,27.47,26.94,27.32,18.8,6892400
2007-09-07,26.96,27.71,26.76,27.03,18.6,10806000
2007-09-10,27.25,27.41,26.26,26.48,18.22,8660400
2007-09-11,26.63,27.26,26.56,27.12,18.67,5546800
2007-09-12,26.94,27.4,26.72,27.17,18.7,5860000
2007-09-13,27.48,28.34,27.21,28.17,19.39,10541600
2007-09-14,28.0,28.33,27.78,27.96,19.24,6116000
2007-09-17,27.9,28.05,27.65,27.75,19.1,4464800
2007-09-18,27.94,29.09,27.66,29.07,20.0,10495200
2007-09-19,29.33,29.33,28.48,28.71,19.76,8748000
2007-09-20,28.64,28.68,27.91,28.01,19.28,9449200
2007-09-21,28.25,28.41,28.01,28.22,19.42,9980000
2007-09-24,28.36,28.42,27.66,27.85,19.17,5934000
2007-09-25,27.54,27.91,27.5,27.73,19.08,15231200
2007-09-26,27.95,28.3,27.83,28.09,19.33,17128800
2007-09-27,28.25,28.58,28.02,28.44,19.58,10250400
2007-09-28,28.48,28.67,28.06,28.26,19.45,4217600
2007-10-01,28.51,28.74,27.94,28.58,19.67,7609200
2007-10-02,28.68,28.72,28.07,28.33,19.5,4352000
2007-10-03,28.12,28.25,27.64,27.75,19.1,6484400
2007-10-04,27.93,28.18,27.52,28.09,19.33,7293600
2007-10-05,28.25,29.5,28.25,29.34,20.19,13714800
2007-10-08,29.23,29.51,28.9,29.34,20.19,5048400
2007-10-09,29.31,29.71,29.03,29.53,20.33,6812800
2007-10-10,29.48,29.65,29.16,29.42,20.25,4271200
2007-10-11,29.55,29.86,29.0,29.6,20.37,8645200
2007-10-12,29.56,29.95,29.42,29.88,20.56,9120000
2007-10-15,29.8,29.95,29.16,29.54,20.33,7695200
2007-10-16,29.35,29.38,28.72,29.05,19.99,8286800
2007-10-17,29.65,29.95,29.3,29.75,20.47,18003600
2007-10-18,29.73,31.79,29.73,31.48,21.67,23595600
2007-10-19,31.49,31.52,30.61,30.66,21.1,14347600
2007-10-22,30.12,31.59,29.76,31.31,21.55,11194800
2007-10-23,31.75,32.5,31.75,32.49,22.36,14805200
2007-10-24,32.24,32.35,31.41,32.26,22.2,9970800
2007-10-25,32.34,32.35,31.31,31.82,21.9,12794000
2007-10-26,32.13,32.17,31.57,31.98,22.01,5120400
2007-10-29,32.14,32.26,31.82,31.87,21.93,10524800
2007-10-30,31.92,32.09,31.5,31.55,21.72,6282800
2007-10-31,31.67,32.12,31.63,32.01,22.03,8664000
2007-11-01,31.74,31.97,31.1,31.19,21.46,7719200
2007-11-02,31.26,31.6,30.8,31.5,21.68,8296800
2007-11-05,31.25,31.69,31.15,31.4,21.61,10594400
2007-11-06,31.55,31.77,31.46,31.72,21.83,9641200
2007-11-07,31.25,31.56,30.83,31.14,21.43,9956400
2007-11-08,31.17,31.69,30.82,31.62,21.76,12334800
2007-11-09,31.25,31.59,31.03,31.16,21.45,9762400
2007-11-12,31.18,31.68,30.84,30.9,21.27,8546400
2007-11-13,31.1,31.5,30.96,31.37,21.59,11035600
2007-11-14,31.62,31.85,30.97,31.09,21.4,8892800
2007-11-15,30.91,31.73,30.6,31.11,21.41,9944000
2007-11-16,31.25,31.62,31.09,31.62,21.76,9844800
2007-11-19,31.48,31.52,31.02,31.17,21.46,11878800
2007-11-20,31.29,31.96,31.12,31.61,21.76,9398000
2007-11-21,31.35,31.36,30.51,30.73,21.15,9580400
2007-11-23,30.87,31.37,30.87,31.17,21.45,3876800
2007-11-26,31.24,31.49,30.34,30.34,20.88,7161600
2007-11-27,30.44,31.23,30.25,31.1,21.72,8557200
2007-11-28,31.27,31.85,31.25,31.72,22.15,11392800
2007-11-29,31.56,31.71,31.08,31.37,21.91,6506800
2007-11-30,31.68,32.22,31.36,31.53,22.02,9376000
2007-12-03,31.5,31.74,31.09,31.58,22.05,7310000
2007-12-04,31.45,32.01,31.31,31.68,22.13,6236000
2007-12-05,32.04,32.39,32.0,32.33,22.57,9040400
2007-12-06,32.28,33.72,32.24,33.54,23.42,13281200
2007-12-07,33.67,34.19,33.5,33.71,23.54,8169600
2007-12-10,33.87,33.93,33.47,33.81,23.62,4606000
2007-12-11,33.82,33.97,32.54,32.66,22.81,9680400
2007-12-12,33.46,34.39,32.57,33.14,23.15,12067200
2007-12-13,33.04,33.5,32.63,33.45,23.36,5843200
2007-12-14,33.7,33.7,32.58,32.64,22.79,6890400
2007-12-17,32.56,32.71,32.19,32.24,22.52,7533600
2007-12-18,32.53,32.53,31.88,32.36,22.6,7028800
2007-12-19,30.62,31.65,30.34,31.15,21.76,29594800
2007-12-20,31.44,31.44,30.48,30.83,21.53,12947200
2007-12-21,31.1,31.64,30.91,31.5,22.0,14041600
2007-12-24,31.42,32.21,31.42,32.12,22.43,3155200
2007-12-26,31.96,32.12,31.81,32.0,22.35,3954800
2007-12-27,31.88,32.21,31.77,31.83,22.23,5506400
2007-12-28,31.82,32.06,31.62,31.93,22.3,4962800
2007-12-31,31.75,31.85,31.38,31.41,21.93,4762800
2008-01-02,31.44,31.81,30.91,31.06,21.69,10272000
2008-01-03,31.22,31.43,30.81,30.97,21.63,6388000
2008-01-04,30.73,30.73,29.92,30.01,20.96,11112400
2008-01-07,30.23,30.47,29.35,29.75,20.77,13720000
2008-01-08,29.79,30.0,28.72,28.82,20.12,11514000
2008-01-09,28.82,29.06,27.99,28.63,19.99,16579200
2008-01-10,28.36,29.62,27.77,29.21,20.4,11485600
2008-01-11,28.89,29.33,28.29,28.53,19.92,9112000
2008-01-14,28.81,29.08,28.67,28.81,20.12,8944800
2008-01-15,28.4,28.54,27.94,28.07,19.6,10406000
2008-01-16,27.89,28.63,27.82,28.23,19.71,10658400
2008-01-17,28.36,28.66,27.1,27.26,19.04,13974400
2008-01-18,27.5,27.95,26.91,27.61,19.28,13347600
2008-01-22,26.33,27.91,26.33,27.59,19.27,17010800
2008-01-23,27.68,29.33,27.18,29.25,20.43,22102400
2008-01-24,29.58,31.23,29.57,30.24,21.12,17346800
2008-01-25,30.52,30.91,29.71,29.95,20.92,17500800
2008-01-28,30.06,30.37,29.75,30.31,21.16,15668000
2008-01-29,30.55,30.55,30.18,30.36,21.2,14337200
2008-01-30,30.17,30.7,29.93,30.24,21.12,17952400
2008-01-31,28.75,31.62,28.75,31.19,21.78,18588000
2008-02-01,31.33,32.08,30.88,31.99,22.34,38223200
2008-02-04,31.86,32.15,31.28,31.42,21.95,12136400
2008-02-05,30.57,31.23,30.39,30.66,21.41,9232400
2008-02-06,30.93,31.31,30.57,30.78,21.5,7174800
2008-02-07,30.75,31.3,30.61,31.07,21.7,9120400
2008-02-08,30.9,31.73,30.77,31.34,21.89,10270800
2008-02-11,31.39,31.46,30.66,31.38,21.91,8587200
2008-02-12,31.63,32.06,31.02,31.4,21.93,9458400
2008-02-13,31.7,31.77,31.15,31.49,21.99,8148800
2008-02-14,31.77,31.77,31.07,31.18,21.78,10688000
2008-02-15,31.12,31.24,30.73,31.2,21.79,9994000
2008-02-19,31.62,31.62,30.35,30.69,21.43,17530400
2008-02-20,30.36,31.25,30.25,30.99,21.64,10071600
2008-02-21,31.16,31.3,30.47,30.81,21.51,15507600
2008-02-22,30.99,31.03,30.48,31.03,21.67,14107600
2008-02-25,31.11,31.72,30.6,31.67,22.11,10537600
2008-02-26,31.51,32.38,31.41,32.28,22.54,11760400
2008-02-27,32.02,32.18,31.7,31.94,22.3,11292000
2008-02-28,31.71,31.8,31.32,31.57,22.04,8402000
2008-02-29,31.26,31.53,30.78,31.19,21.78,11765600
2008-03-03,31.25,31.25,30.35,30.96,21.62,12203600
2008-03-04,30.61,31.2,30.44,30.88,21.57,10727600
2008-03-05,31.19,31.7,30.77,31.44,21.95,10178000
2008-03-06,31.34,31.34,30.22,30.25,21.12,12942000
2008-03-07,30.15,30.7,29.64,29.92,20.89,22086800
2008-03-10,29.75,30.3,29.57,29.69,21.05,8884800
2008-03-11,30.47,31.14,30.15,31.14,22.07,11212000
2008-03-12,31.25,31.48,30.78,30.85,21.86,12328800
2008-03-13,30.38,30.97,30.13,30.84,21.86,11208800
2008-03-14,31.13,31.22,30.04,30.69,21.75,12946400
2008-03-17,29.94,30.88,29.94,30.55,21.65,12874000
2008-03-18,31.19,32.35,31.0,32.33,22.91,26752800
2008-03-19,32.47,32.64,31.08,31.08,22.03,12441600
